Navn,Adresse,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon,Årsomsætning,Overskud,Lønomkostninger_Administrativt,Lønomkostninger_Personale,Omkostninger_til_ikke_fastansat_personale,Soliditetsgrad,Procentmæssigt_overskud_i_forhold_til_omsætningen,Samlede_lønomkostninger_i_forhold_til_omsætningen,Ejendomsomkostninger_i_forhold_til_omsætningen,Personalegennemstrømningen_på_tilbuddet,Virksomhedsform,CVR,Virksomhedens_navn,Tilsynsførende_myndighed,Driftsherre,latitude,longitude,kommune
Hus C (Rødbo),"Klausdalsbrovej 621A, st.  1
    

    2750 Ballerup","Godkendt
        24-02-2025",667 - 667 kr.,"Aktivitets- og samværstilbud, § 104","12 - Aktivitets- og samværstilbud, § 104","12 pladser -
            ingen ledige",Marianne Sinding,msi@balk.dk,44776194,49.335.360 kr.,-1.886.906 kr.,1.737.238 kr.,32.411.475 kr.,8.450.236 kr.,,"-3,82 %","90,98 %","4,63 %","22,09 %",Primærkommune,58271713,Ballerup Kommune,5798001602815,Tilbuddet selv,,,
Huset,"Ølbycenter 77
    

    4600 Køge","Godkendt
        23-02-2024","125,29 - 125,29 kr.","Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
                Kontakt afdelingen om ledige pladser",Susanne Trap,susanne.trap@koege.dk,28792243,,,,,,,,,,,Primærkommune,29189374,Køge Kommune,Køge Kommune,Tilbuddet selv,55.480967,12.176809,Køge Kommune
Kernehuset (Fountain House København),"Teglværksgade 22
    

    2100 København Ø","Godkendt
        10-03-2023","5.714,46 - 5.714,46 kr.","Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104",,,,,,,,,,,,,,,,,,,,55.707093,12.559507,Københavns Kommune
"Klynge 1 (BAS (Beskæftigelse, Aktivitet & Samvær))","Kellersvej 20C, 1. 
    

    2860 Søborg","Godkendt
        25-04-2025",0 - 2.171 kr.,"Aktivitets- og samværstilbud, § 104","67 - Aktivitets- og samværstilbud, § 104","67 pladser -
                Kontakt afdelingen om ledige pladser",Lea Isaksen,handicaptilbud@gladsaxe.dk,39573336,,,,,,,,,,,Primærkommune,62761113,Gladsaxe Kommune,5798008695469,Tilbuddet selv,,,
Kridthuset (Rosenholm),"Rosenholmvej 31
    

    7400 Herning","Godkendt
        15-10-2024",478 - 1.573 kr.,"Aktivitets- og samværstilbud, § 104","13 - Aktivitets- og samværstilbud, § 104","13 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 12 pladser forbeholdt beboere på botilbuddet",Solvej Lyngbye Andersen,rohsla@herning.dk,96284260,45.086.967 kr.,-1.439.906 kr.,1.478.654 kr.,28.737.065 kr.,4.366.665 kr.,,"-3,19 %","84,44 %","2,48 %","35,1 %",Primærkommune,29189919,Herning Kommune,5798005521204,Tilbuddet selv,56.159918,8.928437,Herning Kommune
Rehabilitering og Udviklingscenter Filadelfia - §104 Brommeparken (Rehabilitering og Udviklingscenter Filadelfia),"Værkstedsvej 1
    

    4293 Dianalund","Godkendt
        19-01-2017","370,15 - 407,36 kr.","Aktivitets- og samværstilbud, § 104","9 - Aktivitets- og samværstilbud, § 104","9 pladser -
                Kontakt afdelingen om ledige pladser",Helle Lene Nielsen,hlnis@filadelfia.dk,58271330,,,,,,,,,,,Fonde og andre selvejende institutioner,64723413,Filadelfia,5798001997980,Tilbuddet selv,55.528633,11.501261,Sorø Kommune
S/I Joanna i Vesterborg - Aktivitetstilbud §104 (S/I Joanna i Vesterborg),"Rosningevej 9
    

    4953 Vesterborg","Godkendt
        13-05-2025","549,5 - 931,41 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
            ingen ledige",Christian Ebbe,info@joannamail.dk,54963500,22.316.750 kr.,1.145.347 kr.,2.106.652 kr.,9.755.685 kr.,1.551.944 kr.,"38,17 %","5,13 %","67,17 %","14,05 %","29,4 %",Øvrige virksomhedsformer,37279811,s/I Joanna i Vesterborg,Socialtilsyn Øst,Tilbuddet selv,54.86452,11.276387,Lolland Kommune
Samværs- og aktivitetstilbud (Bo- og beskæftigelsescenter Nørrevang),"Skodborg Nørregade 6A
    

    6630 Rødding","Godkendt
        18-05-2025","160,04 - 800,21 kr.","Aktivitets- og samværstilbud, § 104","12 - Aktivitets- og samværstilbud, § 104","12 pladser -
            ingen ledige",Jan Olesen,janol@vejen.dk,79965060,12.669.131 kr.,-4.271.938 kr.,355.088 kr.,12.134.033 kr.,1.104.292 kr.,,"-33,72 %","112,05 %","3,93 %",20 %,Primærkommune,29189838,Vejen Kommune,5798005435006,Tilbuddet selv,55.42126,9.153846,Vejen Kommune
Skovhuset/Aktivitetshuset Danalien/C-huset (Tilbud for Børn og Voksne med Døvblindhed og Høretab),"Danalien 6
    

    9000 Aalborg","Godkendt
        09-04-2025",1.048 - 2.325 kr.,"Aktivitets- og samværstilbud, § 104","54 - Aktivitets- og samværstilbud, § 104","54 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 18 pladser forbeholdt beboere på botilbuddet",Trine Johansen,trine.johansen@rn.dk,22659256,69.434.155 kr.,1.014.170 kr.,6.819.264 kr.,45.629.693 kr.,0 kr.,,"1,46 %","80,24 %","9,14 %","21,93 %",Region,29190941,Region Nordjylland,5798003280400,Tilbuddet selv,57.029567,9.942873,Aalborg Kommune
Torsdagsklubben,"Sygehusvej 25
    

    4600 Køge","Godkendt
        27-04-2016","26,14 - 26,14 kr.","Aktivitets- og samværstilbud, § 104","80 - Aktivitets- og samværstilbud, § 104","80 pladser -
                Kontakt afdelingen om ledige pladser",Susanne Trap,susanne.trap@koege.dk,28792243,,,,,,,,,,,Primærkommune,29189374,Køge Kommune,Køge Kommune,Tilbuddet selv,55.463039,12.180703,Køge Kommune
Værkstedet Åmosen,"Kongstedvej 26
    

    4293 Dianalund","Godkendt
        12-02-2016",658 - 658 kr.,"Aktivitets- og samværstilbud, § 104","18 - Aktivitets- og samværstilbud, § 104","18 pladser -
            ingen ledige",Karin Elisabeth Andersen,kaan@soroe.dk,58260270,,,,,,,,,,,Primærkommune,29189994,Sorø Kommune,5798007624859,Tilbuddet selv,55.558343,11.491055,Sorø Kommune
§ 104 aktivitets- og samværstilbud (Lene Bredahls Gade),"Lene Bredahls Gade 9
    

    8900 Randers C","Godkendt
        02-07-2024",121 - 490 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 24 pladser forbeholdt beboere på botilbuddet",Mette Birkmose Christensen,mettebirkmose@randers.dk,28499391,29.622.936 kr.,544.305 kr.,850.000 kr.,19.845.458 kr.,2.012.641 kr.,,"1,84 %","80,74 %","1,8 %",17 %,Primærkommune,29189668,Randers Kommune,5798004294277,Tilbuddet selv,56.461886,10.046354,Randers Kommune
Aktivitets- og samværscenter Livskilden,"Kilde Alle 9
    

    3600 Frederikssund","Godkendt
        07-06-2017",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
            ingen ledige",Birgitte Bisgaard Larsen,bbisg@frederikssund.dk,20586628,,,,,,,,,,,Primærkommune,29189129,Frederikssund Kommune,5798008057878,Tilbuddet selv,55.837292,12.069905,Frederikssund Kommune
Aktivitets- og samværstilbud Stoppestedet,"Sjællandsgade 46, st. 
    

    7000 Fredericia","Godkendt
        19-02-2022",58 - 100 kr.,"Aktivitets- og samværstilbud, § 104","100 - Aktivitets- og samværstilbud, § 104","100 pladser -
                Kontakt afdelingen om ledige pladser",Lars Schau,lars.schau@fredericia.dk,41248289,,,,,,,,,,,Primærkommune,69116418,Fredericia Kommune,5798006470907,Tilbuddet selv,,,
Aktivitetshuset Hobro,"Sjællandsvej 15
    

    9500 Hobro","Godkendt
        07-03-2024",332 - 498 kr.,"Aktivitets- og samværstilbud, § 104","48 - Aktivitets- og samværstilbud, § 104","48 pladser -
                Kontakt afdelingen om ledige pladser",Marian Remmen,marem@mariagerfjord.dk,97115770,,,,,,,,,,,Primærkommune,29189455,Mariagerfjord Kommune,5798004231579,Tilbuddet selv,56.627559,9.818013,Mariagerfjord Kommune
"Autismecenter Midtjylland, Afd. Fasanvej","Fasanvej 3
    

    7430 Ikast","Godkendt
        23-01-2025",590 - 824 kr.,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
            ingen ledige",Peter Prior,petprio@ikast-brande.dk,99605251,21.862.000 kr.,-813.000 kr.,822.895 kr.,13.528.898 kr.,3.682.108 kr.,,"-3,72 %","89,57 %","2,1 %","12,77 %",Primærkommune,29189617,Ikast-Brande Kommune,5798005571469,Tilbuddet selv,56.133804,9.131028,Ikast-Brande Kommune
Campus Espevang §104 Enkeltmands projekterne,"Nyholms Alle 47A
    

    2610 Rødovre","Godkendt
        05-04-2024",1.401 - 1.401 kr.,"Aktivitets- og samværstilbud, § 104","3 - Aktivitets- og samværstilbud, § 104","3 pladser -
            ingen ledige",Line Knudsen,cn28872@rk.dk,30769082,,,,,,,,,,,Primærkommune,65307316,Rødovre Kommune,5798009068798,Tilbuddet selv,55.677641,12.442237,Rødovre Kommune
Gallo Huset,"Nørre Allé 30, 1.  tv
    

    8000 Aarhus C","Godkendt
        08-05-2015","0,95 - 0,95 kr.","Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
                Kontakt afdelingen om ledige pladser",Esther Maria Brakl,gallohuset@gallohuset.dk,20278377,,,,,,,,,,,Øvrige virksomhedsformer,19852202,GALLO-HUSET,Aarhus Kommune,Tilbuddet selv,,,
Kig Ind,"Mellemvang 9
    

    4300 Holbæk","Godkendt
        27-06-2024",64 - 64 kr.,"Aktivitets- og samværstilbud, § 104","75 - Aktivitets- og samværstilbud, § 104","75 pladser -
                Kontakt afdelingen om ledige pladser",Jørgen Fregerslev,joeha@holb.dk,72364487,,,,,,,,,,,Primærkommune,29189447,Holbæk Kommune,5798007600655,Tilbuddet selv,55.701105,11.72814,Holbæk Kommune
Kontaktstedet Huset,"St. Sct. Hans Gade 6, st. 
    

    8800 Viborg","Godkendt
        16-09-2015",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
            ingen ledige",Annette Sørensen,anrs@viborg.dk,51448462,,,,,,,,,,,Primærkommune,29189846,Viborg Kommune,5798004514726,Tilbuddet selv,,,
NBV (NBV / Mirabell),"Georg Jensens Vej 12
    

    9800 Hjørring","Godkendt
        02-05-2014",390 - 390 kr.,"Aktivitets- og samværstilbud, § 104","72 - Aktivitets- og samværstilbud, § 104","72 pladser -
                Kontakt afdelingen om ledige pladser",Anne Mette Drustrup,amkd@hjoerring.dk,41226455,,,,,,,,,,,Primærkommune,29189382,Hjørring Kommune,5798003596754,Tilbuddet selv,57.445587,10.013211,Hjørring Kommune
Parkhuset (Center for Social Rehabilitering),"Vesterbrogade 13
    

    7100 Vejle","Godkendt
        09-02-2018",,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
            ingen ledige",Peter Saaby,petsa@vejle.dk,23383450,,,,,,,,,,,Primærkommune,29189900,Vejle Kommune,Vejle Kommune,Tilbuddet selv,55.714396,9.534423,Vejle Kommune
Psykiatri basistilbud - Kontaktsted Karup,"Elmely 13
    

    7470 Karup J","Godkendt
        20-03-2014",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","15 - Aktivitets- og samværstilbud, § 104","15 pladser -
            ingen ledige",Annette Sørensen,anrs@viborg.dk,51448462,,,,,,,,,,,Primærkommune,29189846,Viborg Kommune,5798004514757,Tilbuddet selv,56.308101,9.17191,Viborg Kommune
Regnbuen,"Møllegade 23
    

    7430 Ikast","Godkendt
        08-04-2015",599 - 796 kr.,"Aktivitets- og samværstilbud, § 104","24 - Aktivitets- og samværstilbud, § 104","24 pladser -
                Kontakt afdelingen om ledige pladser",Heidi Nielsen,heini@ikast-brande.dk,99605241,,,,,,,,,,,Primærkommune,29189617,Ikast-Brande Kommune,5798005571506,Tilbuddet selv,56.137704,9.158,Ikast-Brande Kommune
STU Klubtilbud (Job- og Aktivitetscenteret),"Hartmannsvej 23
    

    2900 Hellerup","Godkendt
        24-06-2024",115 - 115 kr.,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
                Kontakt afdelingen om ledige pladser",Camilla Johansson,cajo@gentofte.dk,51418255,,,,,,,,,,,Primærkommune,19438414,Gentofte Kommune,5798008659607,Tilbuddet selv,55.741826,12.565596,Gentofte Kommune
STU Roskilde - Dag og Aftenklubben,"Københavnsvej 266
    

    4000 Roskilde","Godkendt
        27-04-2016",207 - 724 kr.,"Aktivitets- og samværstilbud, § 104","20 - Aktivitets- og samværstilbud, § 104","20 pladser -
                Kontakt afdelingen om ledige pladser",Wendy Mobeck,wendym@roskilde.dk,40518275,,,,,,,,,,,Primærkommune,29189404,Roskilde Kommune,5798007937744,Tilbuddet selv,55.644402,12.139959,Roskilde Kommune
Samværet (ITC Roskilde),"Industrileddet 4
    

    4000 Roskilde","Godkendt
        15-03-2016",593 - 842 kr.,"Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
                Kontakt afdelingen om ledige pladser",Dorte Birgitte Birkmose,dortebj@roskilde.dk,46317160,,,,,,,,,,,Primærkommune,29189404,Roskilde Kommune,5798001755139,Tilbuddet selv,55.632916,12.007373,Roskilde Kommune
"Socialpsykiatrisk Støttecenter ""Clasens Gård"", Sæby","Algade 3A
    

    9300 Sæby","Godkendt
        23-06-2016",202 - 202 kr.,"Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
                Kontakt afdelingen om ledige pladser",Alice Winther Petersen,alpe@frederikshavn.dk,20953506,,,,,,,,,,,Primærkommune,29189498,Frederikshavn Kommune,5798003517827,Tilbuddet selv,57.33529,10.521757,Frederikshavn Kommune
Socialpsykiatrisk Værestedet,"Herlev Hovedgade 110, 1. 
    

    2730 Herlev","Godkendt
        17-01-2025",140 - 140 kr.,"Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
                Kontakt afdelingen om ledige pladser",Johan Sørensen,johan.sorensen@herlev.dk,44526336,,,,,,,,,,,Primærkommune,63640719,Herlev Kommune,5798008770005,Tilbuddet selv,,,
"Støttecentret ""Hyggekrogen""","Doktorvejen 2
    

    9940 Læsø","Godkendt
        27-04-2016",611 - 611 kr.,"Aktivitets- og samværstilbud, § 104","25 - Aktivitets- og samværstilbud, § 104","25 pladser -
                Kontakt afdelingen om ledige pladser",Else Andersen,ehan@laesoe.dk,20412731,,,,,,,,,,,Primærkommune,45973328,Læsø Kommune,5798003697000,Tilbuddet selv,57.256284,10.999404,Læsø Kommune
Søbæk Have,"Søbæksvej 30
    

    4450 Jyderup","Godkendt
        21-10-2024",502 - 1.083 kr.,"Aktivitets- og samværstilbud, § 104","35 - Aktivitets- og samværstilbud, § 104","35 pladser -
                Kontakt afdelingen om ledige pladser",Jennie Rathmann Hee,jenh@holb.dk,72361548,40.391.287 kr.,-9.027.928 kr.,3.697.870 kr.,31.139.323 kr.,5.074.373 kr.,,"-22,35 %","106,57 %","2,5 %",24 %,Primærkommune,29189447,Holbæk Kommune,5798007600570,Tilbuddet selv,55.652641,11.398754,Holbæk Kommune
Væksthuset Bakkegården (Behandlingstilbuddene Væksthuset ApS),"Lendrupvej 26
    

    9670 Løgstør","Godkendt
        09-10-2024","772,74 - 1.183,91 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
                Kontakt afdelingen om ledige pladser",Chris Severinsen,cs@skhv.dk,28886334,27.574.966 kr.,-260.866 kr.,1.723.791 kr.,12.195.990 kr.,1.173.223 kr.,"15,01 %","-0,95 %","64,74 %","15,56 %","18,75 %",Anpartsselskab,44905892,Behandlingstilbuddene Væksthuset ApS,Socialtilsyn Midt,Behandlingstilbuddene Væksthuset I/S,56.94075,9.243244,Vesthimmerlands Kommune
Asta Fonden - Klædemålet,"Klædemålet 9
    

    2100 København Ø","Godkendt
        06-10-2023","491,31 - 491,31 kr.","Aktivitets- og samværstilbud, § 104","45 - Aktivitets- og samværstilbud, § 104","45 pladser -
                Kontakt afdelingen om ledige pladser",Navnet er hemmeligt,,,,,,,,,,,,,Øvrige virksomhedsformer,18695448,Asta Fonden S/I,Københavns Kommune,Tilbuddet selv,55.713453,12.546877,Københavns Kommune
Bogstøtten (Fountain House København),"Teglværksgade 22
    

    2100 København Ø","Godkendt
        30-10-2024","201,29 - 201,29 kr.","Aktivitets- og samværstilbud, § 104","60 - Aktivitets- og samværstilbud, § 104","60 pladser -
                Kontakt afdelingen om ledige pladser",Maria Clemensen,maria@fountain-house.dk,23108196,,,,,,,,,,,Øvrige virksomhedsformer,42965472,S/I Fountain House København,5790000311606,Tilbuddet selv,55.707093,12.559507,Københavns Kommune
Bostedet i Nyrups Dagtilbud (Bostedet i Nyrup),"Skovvej 7B
    

    4262 Sandved","Godkendt
        11-06-2024","401,63 - 401,63 kr.","Aktivitets- og samværstilbud, § 104","36 - Aktivitets- og samværstilbud, § 104","36 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 36 pladser forbeholdt beboere på botilbuddet",Klaus Petersen,kp@bostedetinyrup.dk,55421900,33.011.165 kr.,3.740.847 kr.,3.097.597 kr.,13.979.172 kr.,303.865 kr.,"77,9 %","11,33 %","65,21 %",7 %,12 %,Øvrige virksomhedsformer,11200303,S/I Bostedet i Nyrup,Socialtilsyn Øst,Tilbuddet selv,55.228207,11.49533,Næstved Kommune
Butiksteam 2 (NorGro),"Kildevej 3B
    

    3200 Helsinge","Godkendt
        04-11-2024","930,15 - 2.694,69 kr.","Aktivitets- og samværstilbud, § 104","2 - Aktivitets- og samværstilbud, § 104","2 pladser -
                Kontakt afdelingen om ledige pladser",Monica Rosenville Larsen,mr@norgro.dk,27510498,,,,,,,,,,,Anpartsselskab,43347160,NorGro ApS,Gribskov Kommune,Tilbuddet selv,56.004949,12.237487,Gribskov Kommune
Center for Socialpsykiatri - Værestedet Kirsebærhuset,"Jernbanegade 16
    

    4930 Maribo","Godkendt
        19-02-2016",243 - 243 kr.,"Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
            ingen ledige",Michael Christensen,mich@lolland.dk,29609570,,,,,,,,,,,Primærkommune,29188572,Lolland Kommune,5798007108052,Tilbuddet selv,54.775693,11.501997,Lolland Kommune
Dagcentret Kærren (DEN SELVEJENDE INSTITUTION OXEN),"Vittrup Baunevej 14
    

    6650 Brørup","Godkendt
        28-10-2024","753,66 - 753,66 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 8 pladser forbeholdt beboere på botilbuddet",Jannik Sayoudi,jls@dsioxen.dk,75388388,9.356.424 kr.,702.459 kr.,294.702 kr.,5.018.363 kr.,260.356 kr.,"89,2 %","7,51 %","72,93 %","9,1 %","6,71 %",Øvrige virksomhedsformer,10806534,DEN SELVEJENDE INSTITUTION OXEN,Socialtilsyn Syd,Tilbuddet selv,55.593169,9.016613,Vejen Kommune
"Dagtilbud Aktiviteten og Røret, specialgruppe (Dagtilbud)","Rebslagervej 1
    

    9300 Sæby","Godkendt
        27-04-2016",418 - 1.193 kr.,"Aktivitets- og samværstilbud, § 104","25 - Aktivitets- og samværstilbud, § 104","25 pladser -
                Kontakt afdelingen om ledige pladser",Helle Skovgaard Mortensen,hsmo@frederikshavn.dk,23826014,,,,,,,,,,,Primærkommune,29189498,Frederikshavn Kommune,5798003516790,Tilbuddet selv,57.323801,10.517991,Frederikshavn Kommune
Empata,"Grusgraven 10
    

    2880 Bagsværd","Godkendt
        25-04-2025","0 - 1.106,64 kr.","Aktivitets- og samværstilbud, § 104","28 - Aktivitets- og samværstilbud, § 104","28 pladser -
                Kontakt afdelingen om ledige pladser",Berry Dennis Sode,berry@empata.dk,20126867,,,,,,,,,,,Forening,33213204,EMPATA,Gladsaxe Kommune,Tilbuddet selv,55.757341,12.450961,Gladsaxe Kommune
Impuls,"Skovbrynet 1C
    

    5700 Svendborg","Godkendt
        27-04-2016",389 - 389 kr.,"Aktivitets- og samværstilbud, § 104","92 - Aktivitets- og samværstilbud, § 104","92 pladser -
                Kontakt afdelingen om ledige pladser",Tine Lund,tine.rudbech.lund@svendborg.dk,24886747,,,,,,,,,,,Primærkommune,29189730,Svendborg Kommune,5798006960767,Tilbuddet selv,55.067205,10.618365,Svendborg Kommune
Kilden / Incita,"Ellebjergvej 52, st.  th
    

    2450 København SV","Godkendt
        14-04-2025","774,62 - 1.122,82 kr.","Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
                Kontakt afdelingen om ledige pladser",Susanne Rysbjerg Haals,SRY@incita.dk,26348899,,,,,,,,,,,Erhvervsdrivende fond,66946819,INCITA,Københavns Kommune,Tilbuddet selv,,,
"Kirkevej, Aktivitets- og samværstilbud (Autismecenter Syddanmark, Æblehaven, Holmehøj og Kirkevej)","Kirkevej 14A
    

    5772 Kværndrup","Godkendt
        16-04-2025",939 - 1.918 kr.,"Aktivitets- og samværstilbud, § 104","20 - Aktivitets- og samværstilbud, § 104","20 pladser -
            ingen ledige",Anne-Mette Sørensen,amso@rsyd.dk,30324621,22.075.000 kr.,-329.000 kr.,1.107.000 kr.,15.218.000 kr.,839.000 kr.,,"-1,49 %","80,7 %","6,4 %","10,8 %",Region,29190909,Region Syddanmark,5798002571561,Tilbuddet selv,55.174697,10.534259,Faaborg-Midtfyn Kommune
Kunstskolen Sundby Væksthus Captum (Dagtilbuddet Captum),"Radisevej 2
    

    2300 København S","Godkendt
        10-07-2023",347 - 347 kr.,"Aktivitets- og samværstilbud, § 104","14 - Aktivitets- og samværstilbud, § 104",Kontakt afdelingen om ledige pladser,Vibeke Jessen,KU3T@kk.dk,23811241,,,,,,,,,,,Primærkommune,64942212,Københavns Kommune,5798009696144,Tilbuddet selv,55.64945,12.608546,Københavns Kommune
Køkkenteam 2 (NorGro),"Kildevej 3B
    

    3200 Helsinge","Godkendt
        04-11-2024","930,15 - 2.694,69 kr.","Aktivitets- og samværstilbud, § 104","2 - Aktivitets- og samværstilbud, § 104","2 pladser -
                Kontakt afdelingen om ledige pladser",Monica Rosenville Larsen,mr@norgro.dk,27510498,,,,,,,,,,,Anpartsselskab,43347160,NorGro ApS,Gribskov Kommune,Tilbuddet selv,56.004949,12.237487,Gribskov Kommune
Samværs- og aktivitetstilbud (BO- OG REHABILITERINGSCENTER LUNDEN),"Lundvej 135A
    

    6800 Varde","Godkendt
        05-03-2025",5.069 - 15.208 kr.,"Aktivitets- og samværstilbud, § 104","8 - Aktivitets- og samværstilbud, § 104","8 pladser -
            ingen ledige",Anita Antonisen,aanl@varde.dk,79948741,52.980.997 kr.,1.720.570 kr.,1.369.218 kr.,35.906.762 kr.,4.172.957 kr.,,"3,25 %","82,92 %","5,89 %","12,5 %",Primærkommune,29189811,Varde Kommune,5798004825662,Tilbuddet selv,55.635937,8.50544,Varde Kommune
Specialgruppen Marienborgvej,"Marienborgvej 15A
    

    8930 Randers NØ","Godkendt
        25-10-2024",536 - 536 kr.,"Aktivitets- og samværstilbud, § 104","12 - Aktivitets- og samværstilbud, § 104","12 pladser -
                Kontakt afdelingen om ledige pladser",Rasmus Halbye,Rasmus.Halbye@randers.dk,23844639,,,,,,,,,,,Primærkommune,29189668,Randers Kommune,5798004315576,Tilbuddet selv,56.474096,10.044668,Randers Kommune
"Specialskolen Bramsnæsvig, Aktivitets- og Samværstilbud","Bramsnæsvigvej 2
    

    4070 Kirke Hyllinge","Godkendt
        01-06-2023","1.302,21 - 2.852,46 kr.","Aktivitets- og samværstilbud, § 104","15 - Aktivitets- og samværstilbud, § 104","15 pladser -
                Kontakt afdelingen om ledige pladser",Pia Holm,ph@bramsnaesvig.dk,21482308,,,,,,,,,,,Øvrige virksomhedsformer,29908958,Specialskolen Bramsnæsvig,Lejre Kommune,Tilbuddet selv,55.690453,11.839808,Lejre Kommune
Strøby Skovlyst (Bo - og dagtilbuddene Klintebo),Adressen er hemmelig,"Godkendt
        05-12-2024","428,86 - 428,86 kr.","Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
            ingen ledige",Michael Bock,michael.bock@brk.dk,56926202,50.051.007 kr.,-2.310.161 kr.,2.072.059 kr.,36.466.946 kr.,5.480.530 kr.,,"-4,62 %","89,61 %","3,51 %","21,21 %",Primærkommune,26696348,Bornholms Regionskommune,5798009992734,Tilbuddet selv,,,
Ungeaften (Villa Social),"Poppelhusene 1
    

    2600 Glostrup","Godkendt
        06-07-2023",13 - 13 kr.,"Aktivitets- og samværstilbud, § 104","20 - Aktivitets- og samværstilbud, § 104","20 pladser -
                Kontakt afdelingen om ledige pladser",Pernille Lose Elholm,pll@albertslund.dk,51687577,,,,,,,,,,,Primærkommune,66137112,Albertslund Kommune,5798008871436,Tilbuddet selv,55.673907,12.37409,Albertslund Kommune
Vester Thirup,"Vester Thirupvej 55A
    

    9800 Hjørring","Godkendt
        08-12-2014",300 - 300 kr.,"Aktivitets- og samværstilbud, § 104","35 - Aktivitets- og samværstilbud, § 104","35 pladser -
                Kontakt afdelingen om ledige pladser",Anne Mette Drustrup,amkd@hjoerring.dk,41226455,,,,,,,,,,,Primærkommune,29189382,Hjørring Kommune,5798003590981,Tilbuddet selv,57.472022,10.010479,Hjørring Kommune
Voksne med Handicap - Aftenklubben,"Bybjergvej 25
    

    2740 Skovlunde","Godkendt
        01-11-2021",69 - 69 kr.,"Aktivitets- og samværstilbud, § 104","60 - Aktivitets- og samværstilbud, § 104","60 pladser -
                Kontakt afdelingen om ledige pladser",Trine Braikia,trbr@balk.dk,44776309,,,,,,,,,,,Primærkommune,58271713,Ballerup Kommune,5798008802584,Tilbuddet selv,55.717522,12.400167,Ballerup Kommune
Aktivitets- og Samværstilbud - Sødisbakke,"Havndalvej 7
    

    9550 Mariager","Godkendt
        09-10-2018",381 - 943 kr.,"Aktivitets- og samværstilbud, § 104","67 - Aktivitets- og samværstilbud, § 104","67 pladser -
                Kontakt afdelingen om ledige pladser",Malene Sørensen,maws@rn.dk,21158550,,,,,,,,,,,Region,29190941,Region Nordjylland,5798003280745,Tilbuddet selv,56.647279,9.992417,Mariagerfjord Kommune
AUC Grenaa,"Sønderport 8
    

    8500 Grenaa","Godkendt
        09-01-2025",119 - 268 kr.,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
            ingen ledige",Marie Justesen,mako@norddjurs.dk,23399678,,,,,,,,,,,Primærkommune,29189986,Norddjurs Kommune,5798004376225,Tilbuddet selv,56.412312,10.875186,Norddjurs Kommune
Dagtilbuddet NOVA,"Mejeribakken 1
    

    3540 Lynge","Godkendt
        25-03-2025","1.179,14 - 2.357,33 kr.","Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
                Kontakt afdelingen om ledige pladser",Anne Marie Rahbek,Mia@skindersovej.nu,93203280,,,,,,,,,,,Anpartsselskab,43008498,Dagtilbuddet NOVA ApS,Allerød Kommune,Tilbuddet selv,55.848599,12.27989,Allerød Kommune
