Navn,Adresse,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon,Årsomsætning,Overskud,Lønomkostninger_Administrativt,Lønomkostninger_Personale,Omkostninger_til_ikke_fastansat_personale,Soliditetsgrad,Procentmæssigt_overskud_i_forhold_til_omsætningen,Samlede_lønomkostninger_i_forhold_til_omsætningen,Ejendomsomkostninger_i_forhold_til_omsætningen,Personalegennemstrømningen_på_tilbuddet,latitude,longitude
"Pilehøj, Portnerboligen (Pilehøj)","Dronning Margrethes Vej 39
    

    4000 Roskilde","Godkendt
        25-03-2025",5.060 - 5.060 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108","2 pladser -
            ingen ledige",Christian Jørgensen,chrpjo@roskilde.dk,51264054,12.842.028 kr.,85.114 kr.,"538.594,11 kr.","8.081.104,5 kr.",1.555.240 kr.,,"0,66 %","83,93 %","4,69 %",15 %,55.642826,12.094097
Pilehøj,"Dronning Margrethes Vej 39
    

    4000 Roskilde","Godkendt
        25-03-2025",3.735 - 3.735 kr.,"Botilbud til længerevarende ophold, § 108","8 - Botilbud til længerevarende ophold, § 108","8 pladser -
            ingen ledige",Christian Jørgensen,chrpjo@roskilde.dk,51264054,12.842.028 kr.,85.114 kr.,"538.594,11 kr.","8.081.104,5 kr.",1.555.240 kr.,,"0,66 %","83,93 %","4,69 %",15 %,55.642826,12.094097
Fonden Haugårdhus Haugårdvej 9 (Fonden Haugårdhus),"Dumpen 20, 1. 
    

    8800 Viborg","Godkendt
        20-12-2024","2.827,66 - 2.827,66 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    8 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","1 pladser -
                Kontakt afdelingen om ledige pladser",Ninna Svendsen,ninna@haugaardhus.dk,35901297,20.928.907 kr.,-345.465 kr.,1.652.901 kr.,11.373.134 kr.,1.292.950 kr.,22 %,"-1,65 %","74,65 %","5,87 %",13 %,,
Børnecentret Solbo,"Dybdalsvej 13
    

    8600 Silkeborg","Godkendt
        13-03-2025",3.598 - 5.912 kr.,"Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","7 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    3 - Botilbud til midlertidige ophold, § 107","3 pladser -
            ingen ledige",Poul Svejstrup,PoulBrandt.Svejstrup@silkeborg.dk,24804936,32.971.584 kr.,24.828 kr.,2.350.670 kr.,22.142.492 kr.,1.201.883 kr.,,"0,08 %","79,8 %","7,34 %","30,19 %",56.181277,9.646215
Efterskolen Helle,"Dyrehavevej 28
    

    8500 Grenaa","Godkendt
        19-03-2025","377,78 - 626,3 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","12 - Botilbud til midlertidige ophold, § 107
                
            
                
                    4 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","4 pladser -
                Kontakt afdelingen om ledige pladser",Poul Erik Bang,kontor@efterskolenhelle.dk,86384466,,,,,,,,,,,56.50631,10.815413
"Bostedet ""Dyssemosen's Fond""","Dyssemosevej 9
    

    4760 Vordingborg","Godkendt med vilkår
        13-11-2024","748,89 - 2.130,93 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","8 - Aktivitets- og samværstilbud, § 104
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    6 - Botilbud til længerevarende ophold, § 108","6 pladser -
            ingen ledige",Gitte Helle Helles,kontakt@bostedetdyssemosen.dk,40285918,,,,,,,,,,,55.064179,11.91284
Nyvang Dystrupvej (Område Ørum - Nyvang),"Dystrupvej 4
    

    8586 Ørum Djurs","Godkendt
        11-12-2024",3.274 - 4.510 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","3 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","3 pladser -
                Kontakt afdelingen om ledige pladser",Rasmus Johansson,ralj@norddjurs.dk,40137699,17.093.000 kr.,92.000 kr.,348.287 kr.,11.116.284 kr.,1.422.635 kr.,,"0,54 %","84,41 %","1,56 %","6,6 %",56.444046,10.671916
Hansted Kloster (OK-Fonden Enghaven socialpsykiatrisk bosted),"Egebjergvej 100
    

    8700 Horsens","Godkendt
        27-11-2024","2.678,66 - 13.415,21 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","4 - Botilbud til længerevarende ophold, § 108
                
            
                
                    20 - Botilbud til midlertidige ophold, § 107","20 pladser -
                Kontakt afdelingen om ledige pladser",Anette Jensen,okelj@ok-fonden.dk,75659211,118.944.121 kr.,3.531.872 kr.,6.500.609 kr.,66.325.612 kr.,3.386.001 kr.,"40,33 %","2,97 %","67,31 %",15 %,16 %,55.89391,9.842514
Hytterkroggaard (BostedDanmark),"Egedevej 185
    

    4690 Haslev","Godkendt
        16-11-2024","2.133,14 - 6.399,43 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108","1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    7 - Aktivitets- og samværstilbud, § 104
                
            
                
                    6 - Botilbud til længerevarende ophold, § 108","7 pladser -
            ingen ledige",René Keldorff,rene@bosteddanmark.dk,26747191,37.312.180 kr.,2.316.690 kr.,1.229.733 kr.,22.246.187 kr.,130.436 kr.,36 %,"6,21 %","72,52 %",6 %,13 %,55.301053,12.04904
Egehøjvej (Fonden Chiligruppen),"Egehøjvej 34
    

    8960 Randers SØ","Godkendt
        07-04-2025","6.098,92 - 12.457,33 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","3 - Botilbud til længerevarende ophold, § 108
                
            
                
                    3 - Botilbud til midlertidige ophold, § 107","3 pladser -
                Kontakt afdelingen om ledige pladser",Jakob Salling,js@chiligruppen.dk,22197592,36.799.712 kr.,1.898.369 kr.,0 kr.,26.161.244 kr.,751.667 kr.,"1,34 %","5,16 %","77,43 %","5,6 %","2,5 %",56.451074,10.106867
Skjærgården,"Egemosevej 7
    

    4640 Faxe","Godkendt
        08-04-2025","4.184,24 - 8.571,14 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    5 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","1 pladser -
            ingen ledige",Mette Skjærbæk,msk@skjaergaarden.dk,60917927,,,,,,,,,,,55.179176,12.072191
Handicap specialiserede botilbud - Egehøj,"Egeskovvej 2B, st.  1
    

    8850 Bjerringbro","Godkendt
        12-12-2024",1.928 - 3.485 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","11 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","11 pladser -
            ingen ledige",Lene Søndergaard Carroll,lsc@viborg.dk,87877964,,,,,,,,,,,,
Handicap basistilbud - Tårnly,"Egeskovvej 4
    

    8800 Viborg","Godkendt
        28-08-2024",909 - 2.455 kr.,"Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","2 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    14 - Botilbud til midlertidige ophold, § 107",ingen ledige,Maiken Søgaard,masoe@viborg.dk,20223167,,,,,,,,,,,56.40963,9.355014
Albo,"Egeskovvej 4A
    

    8850 Bjerringbro","Godkendt
        10-01-2025",641 - 1.800 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","11 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","11 pladser -
            ingen ledige",Susanne Andreasen,sa3@viborg.dk,40888668,,,,,,,,,,,56.379197,9.645029
Bofællesskabet Egevej,"Egevej 7B, st.  10
    

    8783 Hornsyld","Godkendt
        29-04-2025",760 - 3.731 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","15 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","15 pladser -
                Kontakt afdelingen om ledige pladser",Karsten Markussen,karsten.markussen@hedensted.dk,29414589,,,,,,,,,,,,
Skovriddergården (Fønix ApS),"Ejstrupvej 24
    

    9460 Brovst","Godkendt
        04-03-2024","3.153,75 - 3.185 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","2 - Botilbud til længerevarende ophold, § 108
                
            
                
                    4 - Botilbud til midlertidige ophold, § 107","4 pladser -
            ingen ledige",Alex Poulsen,ap@fonixvv.dk,41905651,57.015.348 kr.,8.153.366 kr.,2.309.436 kr.,24.326.249 kr.,4.596.567 kr.,"42,1 %","14,3 %","61,06 %","9,1 %",13 %,57.130071,9.43885
Gruppe 4 (Botilbud Handicap Elbæk),"Elbæktoften 9
    

    8370 Hadsten","Godkendt
        06-12-2024",812 - 12.257 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","9 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","9 pladser -
            ingen ledige",Ina Schelander,inas@favrskov.dk,21162297,31.082.000 kr.,561.000 kr.,672.555 kr.,20.811.893 kr.,3.005.086 kr.,,"1,8 %","83,25 %","4,1 %","37,36 %",56.335601,10.059787
HabitusHuset Elbækvej,"Elbækvej 45
    

    8700 Horsens","Godkendt
        06-12-2024","1.933,76 - 10.110,49 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","10 - Aktivitets- og samværstilbud, § 104
                
            
                
                    5 - Botilbud til midlertidige ophold, § 107
                
            
                
                    5 - Botilbud til længerevarende ophold, § 108","10 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 10 pladser forbeholdt beboere på botilbuddet",Elizabeth Haizmann Bergstrøm,ehb@habitus.dk,20610241,,,,,,,,,,,55.921626,9.997507
Ellebækhus (Hjertehusene ApS),"Ellebækvej 18
    

    5853 Ørbæk","Godkendt
        02-12-2024","3.230,72 - 6.964,2 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","6 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","1 pladser -
                Kontakt afdelingen om ledige pladser",Dorthe Skyttegaard Krebs,dorthe@hjertehusene.dk,40818217,15.901.920 kr.,643.845 kr.,203.028 kr.,9.629.975 kr.,1.793.639 kr.,"9,04 %","4,05 %","82,43 %","4,6 %",33 %,55.245667,10.600586
Botilbud Ellebo,"Ellestokken 5
    

    6430 Nordborg","Godkendt
        07-06-2024",0 - 1.553 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Botilbud til midlertidige ophold, § 107","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107","12 pladser -
                Kontakt afdelingen om ledige pladser",Peter Sørensen,pso@sonderborg.dk,27906270,,,,,,,,,,,55.03883,9.792021
Elmevej (Fonden Landbo),"Elmevej 1
    

    9550 Mariager","Godkendt
        21-03-2025","2.733,21 - 3.063,29 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    2 - Botilbud til længerevarende ophold, § 108","2 pladser -
                Kontakt afdelingen om ledige pladser",Myrna Christensen,landbo@landbo.nu,96520702,36.268.198 kr.,1.728.006 kr.,2.862.875 kr.,19.280.713 kr.,3.243.985 kr.,53 %,"4,76 %","76,02 %",6 %,9 %,56.675818,10.070764
Elmevej 10 (Fonden Landbo),"Elmevej 10
    

    9550 Mariager","Godkendt
        21-03-2025","5.548,46 - 5.548,46 kr.","Botilbud til midlertidige ophold, § 107","1 - Botilbud til midlertidige ophold, § 107","1 pladser -
            ingen ledige",Myrna Christensen,landbo@landbo.nu,96520702,36.268.198 kr.,1.728.006 kr.,2.862.875 kr.,19.280.713 kr.,3.243.985 kr.,53 %,"4,76 %","76,02 %",6 %,9 %,56.676085,10.070424
Elmevej 12 (Fonden Landbo),"Elmevej 12
    

    9550 Mariager","Godkendt
        21-03-2025","5.595,21 - 5.595,21 kr.","Botilbud til midlertidige ophold, § 107","1 - Botilbud til midlertidige ophold, § 107","1 pladser -
            ingen ledige",Myrna Christensen,landbo@landbo.nu,96520702,36.268.198 kr.,1.728.006 kr.,2.862.875 kr.,19.280.713 kr.,3.243.985 kr.,53 %,"4,76 %","76,02 %",6 %,9 %,56.67612,10.069998
Thyfondens socialpsykiatriske bo- og arbejdstilbud Enggården,"Enggårdsvej 2
    

    7700 Thisted","Godkendt
        03-01-2025","1.452,94 - 1.834,54 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","10 - Botilbud til midlertidige ophold, § 107
                
            
                
                    4 - Botilbud til længerevarende ophold, § 108","4 pladser -
            ingen ledige",Leo Jørgensen,lj@thisted.dk,97937255,,,,,,,,,,,56.914082,8.475847
Team 1 VIP Huset (VIP Huset),"Englandsvej 27
    

    2300 København S","Godkendt
        10-01-2025","2.526,19 - 3.726,32 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","6 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    4 - Botilbud til midlertidige ophold, § 107","4 pladser -
                Kontakt afdelingen om ledige pladser",Teddy Jeppesen,teddy@viphuset.dk,40300331,17.165.422 kr.,1.614.354 kr.,632.969 kr.,7.210.469 kr.,1.097.510 kr.,"58,7 %","9,4 %","59,04 %","12,3 %",20 %,55.656235,12.604837
Team 2 Lejligheder (VIP Huset),"Englandsvej 27
    

    2300 København S","Godkendt
        10-01-2025","1.614,17 - 2.401,22 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","4 - Botilbud til midlertidige ophold, § 107
                
            
                
                    3 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","4 pladser -
                Kontakt afdelingen om ledige pladser",Teddy Jeppesen,teddy@viphuset.dk,40300331,17.165.422 kr.,1.614.354 kr.,632.969 kr.,7.210.469 kr.,1.097.510 kr.,"58,7 %","9,4 %","59,04 %","12,3 %",20 %,55.656235,12.604837
Botilbuddet Teglhuset,"Erik Gudmands Vej 16C 1
    

    3140 Ålsgårde","Godkendt
        11-02-2025",1.422 - 1.422 kr.,"Botilbud til midlertidige ophold, § 107","14 - Botilbud til midlertidige ophold, § 107",Kontakt afdelingen om ledige pladser,Camilla Kolind Glæsel,ckg07@helsingor.dk,41868192,,,,,,,,,,,56.07273,12.5446512
Ungetilbuddet Carma,"Eriksminde 23
    

    8450 Hammel","Godkendt
        14-08-2024",1.338 - 1.746 kr.,"Botilbud til midlertidige ophold, § 107","15 - Botilbud til midlertidige ophold, § 107","15 pladser -
            ingen ledige",Kathrine Thøgersen,kstj@favrskov.dk,31603320,,,,,,,,,,,56.252581,9.874222
Trivselshuset Eriksvej,"Eriksvej 20
    

    2600 Glostrup","Godkendt
        06-09-2024","5.306,15 - 15.918,44 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","3 - Botilbud til længerevarende ophold, § 108
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","3 pladser -
                Kontakt afdelingen om ledige pladser",Mohamed El Maghlouk,mem@lata.dk,40400771,16.371.628 kr.,-857.606 kr.,0 kr.,7.850.972 kr.,3.816.635 kr.,29 %,"-5,24 %","79,27 %",10 %,29 %,55.663829,12.385645
Galten (Kanonen),"Erslevvej 38
    

    8370 Hadsten","Godkendt
        29-01-2025","2.886,58 - 5.961,27 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    5 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","5 pladser -
                Kontakt afdelingen om ledige pladser",Birgitte Reymers Lydolf,bl@kanonen.dk,4529479849,50.066.462 kr.,545.868 kr.,4.407.068 kr.,25.764.360 kr.,4.778.937 kr.,"35,4 %","1,09 %","77,55 %",5 %,"14,5 %",56.350208,10.074585
"Botilbuddet Sirius, afdeling Eskebjerg","Eskebjergvej 7
    

    5762 Vester Skerninge","Godkendt
        11-04-2025","627,04 - 8.305,32 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Aktivitets- og samværstilbud, § 104","4 - Botilbud til midlertidige ophold, § 107
                
            
                
                    4 - Botilbud til længerevarende ophold, § 108
                
            
                
                    1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    9 - Aktivitets- og samværstilbud, § 104","9 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 9 pladser forbeholdt beboere på botilbuddet",Dina Foskjær,dina@densocialfaglige.dk,4549405612,25.093.678 kr.,284.226 kr.,143.284 kr.,14.044.456 kr.,3.021.510 kr.,"63,31 %","1,13 %","70,04 %","19,99 %","34,87 %",55.106829,10.413394
DMO Ulstruphus (Den Miljøterapeutiske Organisation I),"Eskilstrupvej 18
    

    4560 Vig","Godkendt
        11-12-2024","4.922,64 - 4.922,64 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","5 - Botilbud til midlertidige ophold, § 107
                
            
                
                    5 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","5 pladser -
                Kontakt afdelingen om ledige pladser",Jesper Christensen,jc@dmo.dk,31512040,100.577.623 kr.,6.580.031 kr.,10.096.319 kr.,40.854.369 kr.,6.961.295 kr.,"43,4 %","6,54 %","65,61 %","8,1 %",31 %,55.853475,11.625329
KBH - Københavns bosted Herlufbo,"Esromgade 15
    

    2200 København N","Godkendt
        31-01-2025","1.977,64 - 2.115,97 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","9 - Botilbud til midlertidige ophold, § 107
                
            
                
                    2 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","2 pladser -
                Kontakt afdelingen om ledige pladser",Lars Tomas Randrup,lars@kbh-bosted.dk,27214313,,,,,,,,,,,55.69822,12.540433
CUBA kollegiet,"Fabers Alle 4
    

    5300 Kerteminde","Godkendt
        21-02-2024","657,53 - 1.484 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","2 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    4 - Botilbud til midlertidige ophold, § 107","4 pladser -
            ingen ledige",Karina Lunde,kxlu@kerteminde.dk,24427645,,,,,,,,,,,55.453675,10.630706
Fabrikvej (OK-Fonden Enghaven socialpsykiatrisk bosted),"Fabrikvej 11A
    

    8700 Horsens","Godkendt
        27-11-2024","2.641,24 - 7.146,09 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","4 - Botilbud til midlertidige ophold, § 107
                
            
                
                    8 - Botilbud til længerevarende ophold, § 108","8 pladser -
                Kontakt afdelingen om ledige pladser",Anette Jensen,okelj@ok-fonden.dk,75659211,118.944.121 kr.,3.531.872 kr.,6.500.609 kr.,66.325.612 kr.,3.386.001 kr.,"40,33 %","2,97 %","67,31 %",15 %,16 %,55.866429,9.840325
Botilbuddet Hedehuset Fuglsang (Botilbuddene Hedehuset),"Fælledvej 13
    

    9550 Mariager","Godkendt
        07-03-2025","845,24 - 3.028 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","5 - Botilbud til midlertidige ophold, § 107
                
            
                
                    5 - Botilbud til længerevarende ophold, § 108
                
            
                
                    5 - Aktivitets- og samværstilbud, § 104
                
            
                
                    1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","5 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 5 pladser forbeholdt beboere på botilbuddet",Brian Madsen,bmm@hedehuset.dk,96682725,14.258.844 kr.,1.207.019 kr.,505.036 kr.,7.097.960 kr.,1.881.384 kr.,"43,9 %","8,47 %","77,86 %","6,52 %",0 %,56.640757,9.986413
Fændediget,"Fændediget 4, st. 
    

    4600 Køge","Godkendt
        23-08-2024",1.015 - 1.015 kr.,"Botilbud til midlertidige ophold, § 107","6 - Botilbud til midlertidige ophold, § 107","6 pladser -
            ingen ledige",Niels Nikolaj Bødker,niels.bodker@koege.dk,30523272,,,,,,,,,,,,
Botilbud Falhøj (Bo - og støttekorpset Tårnby Kommune.),"Falhøj 8
    

    2770 Kastrup","Godkendt
        23-10-2024",1.823 - 1.823 kr.,"Botilbud til midlertidige ophold, § 107","6 - Botilbud til midlertidige ophold, § 107","6 pladser -
            ingen ledige",Dan Krusell,dbk.as@taarnby.dk,30760650,5.882.717 kr.,-633.219 kr.,0 kr.,3.578.884 kr.,143.807 kr.,,"-10,76 %","80,06 %","16,22 %",0 %,55.637731,12.612296
SUF - BOAS Mentor,"Falkoner Alle 58B, st. 
    

    2000 Frederiksberg","Godkendt
        12-07-2024","1.855,53 - 1.855,53 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","5 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    5 - Botilbud til midlertidige ophold, § 107","5 pladser -
                Kontakt afdelingen om ledige pladser",Vickie Marion Monsen,vd@suf.dk,30844941,,,,,,,,,,,,
Atlas Gilleleje,"Falkoner Alle 67, 4.  tv
    

    2000 Frederiksberg","Godkendt
        19-03-2025","2.642,58 - 11.753,28 kr.","Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","7 - Aktivitets- og samværstilbud, § 104
                
            
                
                    7 - Botilbud til længerevarende ophold, § 108
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107","0 pladser -
                Kontakt afdelingen om ledige pladser",Camila Jensen,gilleleje@atlas-gruppen.dk,70274222,,,,,,,,,,,,
Nygaard Bofællesskab ApS,"Fårdrupvej 11
    

    4200 Slagelse","Godkendt
        30-12-2024","2.926,3 - 3.174,63 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    5 - Botilbud til længerevarende ophold, § 108","5 pladser -
            ingen ledige",Peter Andersen,admin@nygaardbofaellesskab.dk,22353644,,,,,,,,,,,55.32035,11.341817
Farupvej 8C (Udviklingscenter Vest - Farupvej 8C),"Farupvej 8C
    

    6760 Ribe","Godkendt
        30-04-2025",792 - 2.423 kr.,"Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Botilbud til midlertidige ophold, § 107","0 - Botilbud til længerevarende ophold, § 108
                
            
                
                    12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    3 - Botilbud til midlertidige ophold, § 107","3 pladser -
                Kontakt afdelingen om ledige pladser",Morten Jensen,ucv@esbjerg.dk,76169500,66.477.776 kr.,-64.925 kr.,346.737 kr.,42.271.893 kr.,12.633.112 kr.,,"-0,1 %","86,78 %","5,1 %","25,9 %",55.3426445,8.7640877
Farupvej 8E (Udviklingscenter Vest - Farupvej 8C),"Farupvej 8E
    

    6760 Ribe","Godkendt
        30-04-2025",154 - 2.520 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    18 - Botilbud til længerevarende ophold, § 108
                
            
                
                    13 - Aktivitets- og samværstilbud, § 104","1 pladser -
            ingen ledige",Morten Jensen,ucv@esbjerg.dk,76169500,66.477.776 kr.,-64.925 kr.,346.737 kr.,42.271.893 kr.,12.633.112 kr.,,"-0,1 %","86,78 %","5,1 %","25,9 %",55.3433015,8.763397
"Bøgebo - Åbo og Kastanjebo (Autismecenter Midtjylland, Afd. Fasanvej)","Fasanvej 3
    

    7430 Ikast","Godkendt
        23-01-2025",3.028 - 3.647 kr.,"Botilbud til længerevarende ophold, § 108","9 - Botilbud til længerevarende ophold, § 108","9 pladser -
            ingen ledige",Peter Prior,petprio@ikast-brande.dk,99605251,21.862.000 kr.,-813.000 kr.,822.895 kr.,13.528.898 kr.,3.682.108 kr.,,"-3,72 %","89,57 %","2,1 %","12,77 %",56.133804,9.131028
"Skovbo (Autismecenter Midtjylland, Afd. Fasanvej)","Fasanvej 3
    

    7430 Ikast","Godkendt
        23-01-2025",2.841 - 3.460 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 pladser -
                Kontakt afdelingen om ledige pladser",Peter Prior,petprio@ikast-brande.dk,99605251,21.862.000 kr.,-813.000 kr.,822.895 kr.,13.528.898 kr.,3.682.108 kr.,,"-3,72 %","89,57 %","2,1 %","12,77 %",56.133804,9.131028
Helheden,"Feilbergvej 14
    

    6740 Bramming","Godkendt
        03-03-2025","2.132,4 - 2.229,24 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    10 - Botilbud til længerevarende ophold, § 108
                
            
                
                    11 - Botilbud til midlertidige ophold, § 107","10 pladser -
                Kontakt afdelingen om ledige pladser",Kirsten Sørensen,Kirsten@helheden.dk,21771119,,,,,,,,,,,55.428224,8.64668
