Navn,Adresse,Latitude,Longitude,Kontaktperson,Tilsynsstatus,Takster,Tilbudstyper,Pladser,Kapacitet
Habitus Huset Skellebjerg,"Tåderupvej 3
  

  4293 Dianalund",55.5323174,11.4424855,"Elizabeth Bergstrøm

  25257069","Godkendt
  24-01-2024","Fra 1.933,76 - 10.682,89 kr.","Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","2 - Botilbud til midlertidige ophold, § 107
  
  
  
  7 - Botilbud til længerevarende ophold, § 108
  
  
  
  9 - Aktivitets- og samværstilbud, § 104","7 pladser -
  Kontakt afdelingen om ledige pladser"
Habitus Huset Søren Kannesvej (HabitusHusene Søren Kannes Vej),"Søren Kannes Vej 2
  

  8500 Grenaa",56.4085685,10.915253,"Elizabeth Bergstrøm

  20610241","Godkendt
  10-03-2025","Fra 1.933,76 - 10.110,49 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbud til midlertidige ophold, § 107
  
  
  
  Aktivitets- og samværstilbud, § 104","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  2 - Botilbud til midlertidige ophold, § 107
  
  
  
  3 - Aktivitets- og samværstilbud, § 104","2 pladser -
  Kontakt afdelingen om ledige pladser"
Hus 3 (Frøgård Alle 6),"Frøgård Alle 6
  

  2630 Taastrup",55.6492656,12.2579835,"Jette Remmer

  51244523","Godkendt
  21-10-2024",Fra 2.330 - 2.330 kr.,"Botilbud til længerevarende ophold, § 108","8 - Botilbud til længerevarende ophold, § 108","8 pladser -
  ingen ledige"
Margrethegårdsvejgruppen (Fønix ApS),"Margrethegårdsvej 8
  

  9460 Brovst",57.1323696,9.4646844,"Alex Poulsen

  41905651","Godkendt
  04-03-2024","Fra 2.756,57 - 3.185 kr.","Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108
  
  
  
  Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","6 - Botilbud til midlertidige ophold, § 107
  
  
  
  3 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","3 pladser -
  ingen ledige"
Opholdsstedet i Oure,"Tanghavevej 6
  

  5883 Oure",55.1214457,10.7300608,"Martin Månsson

  30685332","Godkendt
  15-11-2024","Fra 2.146,5 - 6.636,83 kr.","Botilbud til midlertidige ophold, § 107
  
  
  
  Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  Botilbud til længerevarende ophold, § 108","1 - Botilbud til midlertidige ophold, § 107
  
  
  
  7 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  2 - Botilbud til længerevarende ophold, § 108","7 pladser -
  Kontakt afdelingen om ledige pladser"
"Socialpædagogisk Center Næstved, Otterupvej 5","Otterupvej 5
  

  4700 Næstved",55.2059778,11.764347,"Mathias Henrik Larsen

  29742399","Godkendt
  28-05-2024",Fra 8.265 - 8.265 kr.,"Botilbud til længerevarende ophold, § 108","3 - Botilbud til længerevarende ophold, § 108","3 pladser -
  ingen ledige"
Øernes Autisme Tilbud Petersdal - Hus 21 (Øernes Autisme Tilbud Petersdal),"Lendemark Hovedgade 21
  

  4780 Stege",54.9780731,12.2747622,"Lisbeth Raulund Olsen

  61360783","Godkendt
  16-12-2024","Fra 4.464,72 - 8.929,44 kr.","Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108
  
  
  
  Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","0 - Botilbud til midlertidige ophold, § 107
  
  
  
  3 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","3 pladser -
  ingen ledige"
Autismecenter Syd - Rhedersborg B (Autismecenter Syd - Rhedersborg),"Østermarkvej 1A
  

  6230 Rødekro",55.0789728,9.3120049,"Susanne Christensen

  51241407","Godkendt
  24-06-2024",Fra 1.792 - 3.746 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","4 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","4 pladser -
  ingen ledige"
Bakken 11 (BO-ENHEDEN BAKKEHUSET),"Bakken 7
  

  2600 Glostrup",55.6706916,12.3853927,"Henning Erik Pedersen

  43482102","Godkendt
  19-09-2024",Fra 3.867 - 3.867 kr.,"Botilbud til længerevarende ophold, § 108","6 - Botilbud til længerevarende ophold, § 108","6 pladser -
  ingen ledige"
Better Life Botilbud,"Vesthegnet 47
  

  2670 Greve",55.5817215,12.2624829,"Frank Carsten Lund

  61150085","Godkendt
  28-06-2024","Fra 9.500,89 - 9.500,89 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  ingen ledige"
Bofællesskabet Plantagevej,"Plantagevej 1A
  

  5960 Marstal",54.8494229,10.517650100000001,"Jørgen Knudsen

  24436418","Godkendt
  26-03-2025","Fra 0,1 - 527 kr.","Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","1 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  0 - Botilbud til midlertidige ophold, § 107
  
  
  
  15 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","1 pladser -
  ingen ledige"
Boligerne Brøndbyøstervej 156B (Boligerne Brøndbyøstervej),"Brøndbyøstervej 156B
  

  2605 Brøndby",55.6511688,12.4403293,"Laila Aggergaard

  43283366","Godkendt
  17-01-2025","Fra 2.334,17 - 6.810,22 kr.","Botilbud til længerevarende ophold, § 108","24 - Botilbud til længerevarende ophold, § 108","24 pladser -
  Kontakt afdelingen om ledige pladser"
Botilbuddet Bredgade og Svalegangen,"Bredgade 8A 30
  

  8870 Langå",56.3911591,9.8933114,"Poul Erik Bloch

  23723621","Godkendt
  25-11-2024",Fra 1.765 - 2.864 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 pladser -
  ingen ledige"
Botilbuddet Nordlys,"Fussingsvej 23
  

  2300 København S",55.6493844,12.606878,"Wivi Rosenkilde

  24769012","Godkendt
  14-10-2024",Fra 3.292 - 6.428 kr.,"Botilbud til længerevarende ophold, § 108","12 - Botilbud til længerevarende ophold, § 108","12 pladser -
  ingen ledige"
Enhed for handicap - Rosenkildevej 85,"Rosenkildevej 85
  

  4200 Slagelse",55.4229964,11.3602117,"Signe Odsbøll

  20188241","Godkendt
  09-12-2024",Fra 368 - 1.174 kr.,"Botilbud til længerevarende ophold, § 108","19 - Botilbud til længerevarende ophold, § 108","19 pladser -
  Kontakt afdelingen om ledige pladser"
Fonden Opholdsstedet Hyldeborg,"Stenlillevej 104
  

  3660 Stenløse",55.7898048,12.2057952,"Sol Green

  40800800","Godkendt
  09-01-2025","Fra 880,54 - 2.225,68 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108","4 - Aktivitets- og samværstilbud, § 104
  
  
  
  4 - Botilbud til midlertidige ophold, § 107
  
  
  
  4 - Botilbud til længerevarende ophold, § 108","4 pladser -
  Kontakt afdelingen om ledige pladser"
Habitus Huset Højstrupvej (HabitusHuset Børsholt),"Højstrupvej 31
  

  9750 Østervrå",57.3608586,10.3324876,"Elizabeth Bergstrøm

  20610241","Godkendt
  30-03-2025","Fra 19.789,78 - 19.789,78 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  Kontakt afdelingen om ledige pladser"
Habitus Huset Serritslevvej (HabitusHuset Børsholt),"Serritslevvej 262
  

  9740 Jerslev J",57.3113308,10.045804,"Elizabeth Bergstrøm

  20610241","Godkendt
  30-03-2025","Fra 23.203,19 - 23.203,19 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  Kontakt afdelingen om ledige pladser"
Havbo,"Havkærparken 47D
  

  8381 Tilst",56.1854702,10.1156412,"Jesper Koch

  20533614","Godkendt
  01-04-2025",Fra 4.330 - 4.330 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 pladser -
  ingen ledige"
Holbergkollegiet,"Holbergstien 6
  

  8900 Randers C",56.468876,10.0448083,"Dora Pouline Scheiby

  21299664","Godkendt
  12-12-2024",Fra 1.906 - 1.906 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","7 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","7 pladser -
  Kontakt afdelingen om ledige pladser"
Møllegårdens Botilbud  APS,"Gl Nykøbingvej 85
  

  4572 Nørre Asmindrup",55.8800825,11.6053123,"Pia á Grømma

  40268879","Godkendt
  21-03-2024","Fra 2.561,49 - 2.561,49 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbud til midlertidige ophold, § 107
  
  
  
  Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","3 - Botilbud til længerevarende ophold, § 108
  
  
  
  8 - Botilbud til midlertidige ophold, § 107
  
  
  
  2 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","2 pladser -
  Kontakt afdelingen om ledige pladser"
Møllevang (Granhøjen Midtsjælland),"Ørnevej 50
  

  4370 Store Merløse",55.5456797,11.7175566,"Eva Maria Albæk

  59932301","Godkendt
  22-01-2025","Fra 2.654,03 - 2.654,03 kr.","Botilbud til længerevarende ophold, § 108","27 - Botilbud til længerevarende ophold, § 108","27 pladser -
  Kontakt afdelingen om ledige pladser"
Nordlien - Botilbuddene Nordenfjords,"Vestkystvejen 45
  

  9460 Brovst",57.1390284,9.4297344,"Allan Jensen

  22430505","Godkendt
  02-07-2024","Fra 420,51 - 8.102,93 kr.","Botilbud til midlertidige ophold, § 107
  
  
  
  Beskyttet beskæftigelsestilbud, § 103
  
  
  
  Botilbud til længerevarende ophold, § 108","5 - Botilbud til midlertidige ophold, § 107
  
  
  
  6 - Beskyttet beskæftigelsestilbud, § 103
  
  
  
  1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  ingen ledige"
Pilehøj,"Dronning Margrethes Vej 39
  

  4000 Roskilde",55.6428575,12.0940904,"Christian Jørgensen

  51264054","Godkendt
  25-03-2025",Fra 3.735 - 3.735 kr.,"Botilbud til længerevarende ophold, § 108","8 - Botilbud til længerevarende ophold, § 108","8 pladser -
  ingen ledige"
Robertshøj 5.sal (Botilbuddet Robertshøj),"Robert Jacobsens Vej 11A, st. 
  

  2300 København S",55.6231129,12.5753972,"Kenneth Oxenbøll

  21265733","Godkendt
  06-11-2024",Fra 1.625 - 1.853 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
  ingen ledige"
"Satelitten (Center for Udviklingshandicap Syd, afd. Bellisbo)","Bellisvej 5A
  

  8766 Nørre Snede",55.9676394,9.387101,"Sidsel Marie Nielsen

  99603752","Godkendt
  14-10-2024",Fra 952 - 3.502 kr.,"Botilbud til længerevarende ophold, § 108","3 - Botilbud til længerevarende ophold, § 108","3 pladser -
  ingen ledige"
§107 / §108 Fremadliv (Fonden Det Private Botilbud),"Østergade 3, 1. 
  

  4270 Høng",55.5087961,11.2901411,"Søren Olsen

  30521720","Godkendt
  04-03-2025","Fra 8.967,6 - 8.967,6 kr.","Botilbud til længerevarende ophold, § 108","3 - Botilbud til længerevarende ophold, § 108","3 pladser -
  ingen ledige"
Hus 1 (Frøgård Alle 6),"Frøgård Alle 6
  

  2630 Taastrup",55.6492656,12.2579835,"Jette Remmer

  51244523","Godkendt
  21-10-2024",Fra 3.192 - 3.192 kr.,"Botilbud til længerevarende ophold, § 108","8 - Botilbud til længerevarende ophold, § 108","8 pladser -
  Kontakt afdelingen om ledige pladser"
Langebjerggaard ASF-Botilbud - Dianalund (Langebjerggaard ASF-Botilbud),"Søndermarksvej 3
  

  4293 Dianalund",55.5324857,11.4934504,"Jesper Svare

  21641336","Godkendt
  22-05-2024","Fra 9.680,5 - 15.622,53 kr.","Botilbud til længerevarende ophold, § 108","2 - Botilbud til længerevarende ophold, § 108","2 pladser -
  ingen ledige"
"Bøgebo - Åbo og Kastanjebo (Autismecenter Midtjylland, Afd. Fasanvej)","Fasanvej 3
  

  7430 Ikast",56.1337635,9.131051,"Peter Prior

  99605251","Godkendt
  23-01-2025",Fra 3.028 - 3.647 kr.,"Botilbud til længerevarende ophold, § 108","9 - Botilbud til længerevarende ophold, § 108","9 pladser -
  ingen ledige"
Hytterkroggaard (BostedDanmark),"Egedevej 185
  

  4690 Haslev",55.3010679,12.0489626,"René Keldorff

  26747191","Godkendt
  16-11-2024","Fra 2.133,14 - 6.399,43 kr.","Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbud til midlertidige ophold, § 107","7 - Aktivitets- og samværstilbud, § 104
  
  
  
  6 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Botilbud til midlertidige ophold, § 107","1 pladser -
  ingen ledige"
Skærehaven,"Strandalleen 132
  

  5800 Nyborg",55.3418657,10.7961298,"Annette Kjærgaard

  23375526","Godkendt
  25-04-2025",Fra 4.671 - 5.967 kr.,"Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbud til midlertidige ophold, § 107","1 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  14 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Botilbud til midlertidige ophold, § 107","14 pladser -
  ingen ledige"
"Røjlevej Hus 5 (Socialpædagogisk Center Næstved, Otterupvej 5)","Røjlevej 100
  

  4684 Holmegaard",55.2809296,11.8124751,"Mathias Lauritzen

  29742399","Godkendt
  28-05-2024",Fra 2.704 - 2.704 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 pladser -
  ingen ledige"
"Birkebo (Autismecenter Midtjylland, Afdeling Hagelskærvej)","Hagelskærvej 15
  

  7430 Ikast",56.1475915,9.1445113,"Peter Prior

  99605301","Godkendt
  15-11-2024",Fra 2.878 - 3.184 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 pladser -
  ingen ledige"
Botilbud Husum Vænge §105 (Botilbud ASPECT CSBB),"Husum Vænge 7, st. 
  

  2700 Brønshøj",55.7073747,12.4755601,"Charlotte Daugaard

  27132615","Godkendt
  25-04-2025",Fra 971 - 1.210 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","19 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","19 pladser -
  ingen ledige"
Habitus Huset Astrupvej (HabitusHuset Børsholt),"Astrupvej 331
  

  9870 Sindal",57.4770678,10.1596608,"Elizabeth Bergstrøm

  20610241","Godkendt
  30-03-2025","Fra 22.634,6 - 22.634,6 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  ingen ledige"
Markhuset (Damsgaarden),"Hillerødvejen 85
  

  3250 Gilleleje",56.0966548,12.3357389,"Anne Marie Rahbek

  93203280","Godkendt
  22-03-2024","Fra 1.233,52 - 7.866,68 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104
  
  
  
  Botilbud til midlertidige ophold, § 107","4 - Botilbud til længerevarende ophold, § 108
  
  
  
  4 - Aktivitets- og samværstilbud, § 104
  
  
  
  0 - Botilbud til midlertidige ophold, § 107","4 pladser -
  ingen ledige"
Langebjerggaard ASF-Botilbud - Hårslev (Langebjerggaard ASF-Botilbud),"Hårslevvej 10
  

  4262 Sandved",55.2627141,11.5006356,"Jesper William Svare

  21641336","Godkendt
  22-05-2024","Fra 14.848,69 - 15.503,1 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  ingen ledige"
Habitus Huset Langbrovej (Habitus Husene Fjelsted),"Langbrovej 63
  

  9700 Brønderslev",57.307071,9.8241934,"Elizabeth Bergstrøm

  20610241","Godkendt
  16-05-2024","Fra 18.972,2 - 18.972,2 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  ingen ledige"
Habitus Huset Schæferivej (HabitusHuset Gødstrup),"Schæferivej 18
  

  7400 Herning",56.1942603,8.9047284,"Elizabeth Bergstrøm

  +4525257069","Godkendt
  24-04-2025","Fra 18.704,12 - 18.704,12 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  Kontakt afdelingen om ledige pladser"
Bakken 3 (Elmelund),"Thorsgade 5A, 1.  tv
  

  7700 Thisted",56.9534931,8.6865162,"Alice Margrethe Thomsen

  97912423","Godkendt
  02-12-2024","Fra 753,66 - 1.743,91 kr.","Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbudslignende tilbud, Lejebolig, Lejeloven","1 - Botilbud til midlertidige ophold, § 107
  
  
  
  1 - Botilbud til længerevarende ophold, § 108
  
  
  
  4 - Botilbudslignende tilbud, Lejebolig, Lejeloven","1 pladser -
  Kontakt afdelingen om ledige pladser"
Bofællesskabet Vinkeldamsvej (SPUC),"Vinkeldamsvej 1
  

  3000 Helsingør",56.0338962,12.5854225,"Louise Manstrup

  25313434","Godkendt
  18-03-2025",Fra 400 - 1.122 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 pladser -
  ingen ledige"
HabitusHuset Kobberøvej (HabitusHuset Sct. Mortensgaard),"Kobberøvej 5
  

  7760 Hurup Thy",56.7228957,8.3295505,"Elizabeth Haizmann Bergstrøm

  20610241","Godkendt
  08-11-2024","Fra 21.205,51 - 21.205,51 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  Kontakt afdelingen om ledige pladser"
Habitus Huset Sønder Næstholtvej (HabitusHuset Gødstrup),"Sønder Næstholtvej 16
  

  7400 Herning",56.1573411,8.8771912,"Elizabeth Bergstrøm

  +4525257069","Godkendt
  24-04-2025","Fra 18.704,12 - 18.704,12 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  Kontakt afdelingen om ledige pladser"
Botilbud Kullekærvej - Autisme (Autismetilbud Vordingborg),"Kullekærvej 2
  

  4760 Vordingborg",55.016965,11.9031324,"Pernille Hove

  55363585","Godkendt
  01-11-2024",Fra 2.297 - 3.256 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","24 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","24 pladser -
  ingen ledige"
HabitusHuset Stentegård (HabitusHusene Toreby),"Runestensvej 13
  

  4970 Rødby",54.7177249,11.3620789,"Elizabeth Haizmann Bergstrøm

  20610241","Godkendt
  21-03-2025","Fra 23.564,75 - 23.564,75 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  Kontakt afdelingen om ledige pladser"
Habitus Huset Hjabelundvej (Habitus Husene Fjelsted),"Hjabelundvej 81
  

  9830 Tårs",57.3325379,10.1434277,"Elizabeth Bergstrøm

  20610241","Godkendt
  16-05-2024","Fra 22.271,13 - 22.271,13 kr.","Botilbud til længerevarende ophold, § 108","1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  Kontakt afdelingen om ledige pladser"
Bostedet Kilebo,"Havkærparken 51, st. 
  

  8381 Tilst",56.1856021,10.1153343,"Tina Margrethe Christiansen

  41860811","Godkendt
  06-09-2024",Fra 1.838 - 3.949 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","24 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","24 pladser -
  ingen ledige"
Autismecenter Syd - Skovbo 50 (Autismecenter Syd - Skovbo 50 og 58),"Savværksvej 52
  

  6230 Rødekro",55.0700614,9.3276868,"Rita Solveig Elsborg

  20260982","Godkendt
  23-04-2024",Fra 1.003 - 4.227 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","4 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","4 pladser -
  ingen ledige"
Autismecenter Syd - Rhedersborg A+C (Autismecenter Syd - Rhedersborg),"Østermarkvej 1A
  

  6230 Rødekro",55.0789728,9.3120049,"Susanne Christensen

  51241407","Godkendt
  24-06-2024",Fra 1.792 - 2.524 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","16 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","16 pladser -
  ingen ledige"
Ekkenberg Netværk 2022 ApS,"Svendsgade 8, st.  th
  

  4200 Slagelse",55.4060757,11.347168,"Jürgen Nagel

  27250806","Godkendt
  04-02-2025","Fra 552,37 - 3.920,54 kr.","Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbudslignende tilbud, Lejebolig, Lejeloven
  
  
  
  Botilbud til længerevarende ophold, § 108","16 - Botilbud til midlertidige ophold, § 107
  
  
  
  5 - Botilbudslignende tilbud, Lejebolig, Lejeloven
  
  
  
  8 - Botilbud til længerevarende ophold, § 108","16 pladser -
  Kontakt afdelingen om ledige pladser"
SUF Nord Aalborg (SUF Nord),"Sohngårdsholmsvej 49
  

  9000 Aalborg",57.0293219,9.9472042,"Marlene Bach Pedersen

  50426094","Godkendt
  20-12-2024","Fra 3.426,77 - 4.688,91 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108","2 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
  
  
  
  8 - Botilbud til midlertidige ophold, § 107
  
  
  
  2 - Botilbud til længerevarende ophold, § 108","2 pladser -
  Kontakt afdelingen om ledige pladser"
Bofællesskabet Knuthenborgvej,"Knuthenborgvej 21D
  

  7400 Herning",56.1533871,8.9354489,"Tina Pedersen

  91163533","Godkendt
  16-10-2024",Fra 461 - 786 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","20 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","20 pladser -
  Kontakt afdelingen om ledige pladser"
Albo,"Egeskovvej 4A
  

  8850 Bjerringbro",56.3792236,9.6449874,"Susanne Andreasen

  40888668","Godkendt
  10-01-2025",Fra 641 - 1.800 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","11 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","11 pladser -
  ingen ledige"
Hobbitten,"Stygge Krumpens Vej 50
  

  9300 Sæby",57.3329501,10.5004556,"Maja Graven

  99317075","Godkendt
  03-05-2024",Fra 3.047 - 4.573 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 pladser -
  ingen ledige"
Holbergstien,"Holbergstien 6
  

  8900 Randers C",56.468876,10.0448083,"Hanne Meldgaard Gregersen

  23844639","Godkendt
  03-06-2024",Fra 4.055 - 6.343 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","12 pladser -
  ingen ledige"
Solbjerghave (Det socialøkonomiske Botilbud Bella Noa),"Hovedgaden 95
  

  4520 Svinninge",55.7210636,11.4543577,"Janne Petersen

  55662075","Godkendt
  28-03-2025","Fra 9.253,8 - 10.207,8 kr.","Botilbud til længerevarende ophold, § 108","5 - Botilbud til længerevarende ophold, § 108","5 pladser -
  Kontakt afdelingen om ledige pladser"
Søbæk Have 18C (Søbæk Have 18B),"Søbæksvej 30
  

  4450 Jyderup",55.6525684,11.399308,"Jennie Rathmann Hee

  72361548","Godkendt med skærpet tilsyn
  06-03-2025",Fra 309 - 5.701 kr.,"Botilbud til længerevarende ophold, § 108","4 - Botilbud til længerevarende ophold, § 108","4 pladser -
  Kontakt afdelingen om ledige pladser"
Bakken 2 (Elmelund),"Storegade 10C, 1.  3
  

  7700 Thisted",56.9546635,8.6929157,"Alice Margrethe Thomsen

  97912423","Godkendt
  02-12-2024","Fra 788 - 1.809,74 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbudslignende tilbud, Lejebolig, Lejeloven
  
  
  
  Botilbud til midlertidige ophold, § 107","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  3 - Botilbudslignende tilbud, Lejebolig, Lejeloven
  
  
  
  1 - Botilbud til midlertidige ophold, § 107","3 pladser -
  Kontakt afdelingen om ledige pladser"
Skovhuset (Botilbuddet Alderslyst),"Nylandsvej 18
  

  8600 Silkeborg",56.1792124,9.5394384,"lene havn

  21561630","Godkendt
  13-07-2024",Fra 310 - 2.704 kr.,"Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108
  
  
  
  Aktivitets- og samværstilbud, § 104","2 - Botilbud til midlertidige ophold, § 107
  
  
  
  10 - Botilbud til længerevarende ophold, § 108
  
  
  
  5 - Aktivitets- og samværstilbud, § 104","2 pladser -
  ingen ledige"
Bofællesskaberne Edelsvej (15A og 10'eren) + §85 (Udviklingscenter Vest - Spangsbjerg Kirkevej 2),"Spangsbjerg Kirkevej 4
  

  6700 Esbjerg",55.4796861,8.4610059,"Morten Jensen

  76168400","Godkendt
  12-04-2024",Fra 132 - 1.771 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","49 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","49 pladser -
  ingen ledige"
