Navn,Adresse,Latitude,Longitude,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon
Pedelteam 2 (NorGro),"Kildevej 3B
  

  3200 Helsinge",56.004809,12.2372594,"Godkendt
  04-11-2024","930,15 - 2.694,69 kr.","Aktivitets- og samværstilbud, § 104","2 - Aktivitets- og samværstilbud, § 104","2 pladser -
  Kontakt afdelingen om ledige pladser",Monica Rosenville Larsen,mr@norgro.dk,27510498
Rom Gl. Skole,"Rom Skole 12
  

  7620 Lemvig",56.5263707,8.3122204,"Godkendt
  16-02-2022",324 - 324 kr.,"Aktivitets- og samværstilbud, § 104","27 - Aktivitets- og samværstilbud, § 104","27 pladser -
  Kontakt afdelingen om ledige pladser",Helle Laursen,helle.roenn.laursen@lemvig.dk,24246325
"Tornhuset Peder Skrams Vej (Tornhuset, Tornbjergvej)","Tornbjergvej 1
  

  5220 Odense SØ",55.3758002,10.4583731,"Godkendt
  12-03-2025",1.020 - 1.020 kr.,"Aktivitets- og samværstilbud, § 104","24 - Aktivitets- og samværstilbud, § 104","24 pladser -
  ingen ledige",Britt Clausen,bricl@odense.dk,23313949
"Tornværkstedet (Tornhuset, Tornbjergvej)","Tornbjergvej 1
  

  5220 Odense SØ",55.3758002,10.4583731,"Godkendt
  12-03-2025",701 - 701 kr.,"Aktivitets- og samværstilbud, § 104","20 - Aktivitets- og samværstilbud, § 104","20 pladser -
  ingen ledige",Britt Clausen,bricl@odense.dk,23313949
§ 104 Intern dagtilbud (Bostedet Chr.X´s Allé),"Christian X's Alle 97
  

  2800 Kongens Lyngby",55.7650872,12.4951268,"Godkendt
  01-05-2025",3.461 - 3.461 kr.,"Aktivitets- og samværstilbud, § 104","6 - Aktivitets- og samværstilbud, § 104","6 pladser -
  Kontakt afdelingen om ledige pladser",Ole Mikkelsen,chrxalle@ltk.dk,45976000
Æblehaven (Fonden Landbo),"Storegade 86
  

  9550 Mariager",56.67565,10.0690809,"Godkendt
  21-03-2025","434,07 - 434,07 kr.","Aktivitets- og samværstilbud, § 104","15 - Aktivitets- og samværstilbud, § 104","15 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 15 pladser forbeholdt beboere på botilbuddet",Myrna Christensen,landbo@landbo.nu,96520702
ACS Aktivitetstilbuddet Åhuset,"Jægervej 16
  

  7800 Skive",56.5500245,9.0230454,"Godkendt
  26-11-2024","364,9 - 596,86 kr.","Aktivitets- og samværstilbud, § 104","18 - Aktivitets- og samværstilbud, § 104","18 pladser -
  Kontakt afdelingen om ledige pladser",Lene Lykke Pedersen,llpe@skivekommune.dk,99157231
Aktivitets- og Samværdstilbud Kærvej (Bo og Aktivitetstilbud Kærvej),"Kærvej 30
  

  9500 Hobro",56.5825813,9.7390211,"Godkendt
  04-06-2024",341 - 512 kr.,"Aktivitets- og samværstilbud, § 104","17 - Aktivitets- og samværstilbud, § 104","17 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 13 pladser forbeholdt beboere på botilbuddet",Mette Nielsen,mettn@mariagerfjord.dk,97114863
Behandlingsstederne Langebjerggaards aktivitetstilbud (Langebjerggaards beskæftigelses- og aktivitetstilbud),"Næstved Landevej 147
  

  4230 Skælskør",55.255268,11.3352626,"Godkendt
  22-11-2023","698,33 - 4.881,62 kr.","Aktivitets- og samværstilbud, § 104","2 - Aktivitets- og samværstilbud, § 104","2 pladser -
  Kontakt afdelingen om ledige pladser",Mette Holst,metteholst@langebjerggaard.dk,93401475
Bøgelund CFU § 104 (HabitusHuset Bøgelund Center for Udvikling),"Plantagevej 2A
  

  7300 Jelling",55.7456034,9.409221,"Godkendt
  21-02-2024","667,8 - 667,8 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 10 pladser forbeholdt beboere på botilbuddet",Elizabeth Bergstrøm,ehb@habitus.dk,20610241
CABAS Eftermiddag (CABAS),"Højvangen 11
  

  3060 Espergærde",55.9924575,12.5304651,"Godkendt
  10-03-2016",460 - 460 kr.,"Aktivitets- og samværstilbud, § 104","6 - Aktivitets- og samværstilbud, § 104","6 pladser -
  Kontakt afdelingen om ledige pladser",Michael Christian Simonsen,michs@helsingor.dk,49284800
CAS 1 internt dagtilbud (CAS 1),"Amagerfælledvej 199
  

  2300 København S",55.6562934,12.5937776,"Godkendt
  26-08-2024",963 - 963 kr.,"Aktivitets- og samværstilbud, § 104","4 - Aktivitets- og samværstilbud, § 104","4 pladser -
  ingen ledige",Peter Salgado,ZA46@kk.dk,23637195
Café Oasen (Trollesbro),"Slangerupgade 60
  

  3400 Hillerød",55.9274428,12.2910129,"Godkendt
  16-02-2024",157 - 157 kr.,"Aktivitets- og samværstilbud, § 104","70 - Aktivitets- og samværstilbud, § 104","70 pladser -
  Kontakt afdelingen om ledige pladser",Brit Hansen,brilh@hillerod.dk,72323629
Dagtilbuddet Øresund (Dagtilbuddet Spektrum),"Carl Nielsens Allé 17
  

  2100 København Ø",55.7128745,12.5810861,"Godkendt
  10-07-2023",1.022 - 1.022 kr.,"Aktivitets- og samværstilbud, § 104","17 - Aktivitets- og samværstilbud, § 104","17 pladser -
  ingen ledige",Mads Hansen,ek09@kk.dk,27641775
"Geelsgårdskolen, dagtilbud","Kongevejen 252
  

  2830 Virum",55.797905,12.48237,"Godkendt
  16-02-2017",2.113 - 4.059 kr.,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  Kontakt afdelingen om ledige pladser",Christian Emil Langager,christian.emil.langager@regionh.dk,45114004
Globen Aars §104 (Globen Aars),"Hjortkjærsvej 28A
  

  9600 Aars",56.8063486,9.4966679,"Godkendt
  18-12-2014",679 - 679 kr.,"Aktivitets- og samværstilbud, § 104","5 - Aktivitets- og samværstilbud, § 104","5 pladser -
  Kontakt afdelingen om ledige pladser",Kenneth Christensen,kbc@vesthimmerland.dk,21639068
"Globen Løgstør Fløj Vest §104 (Globen og Senhjerneskade, Vesthimmerland)","Frederik VII's Alle 15
  

  9670 Løgstør",56.9605374,9.2466033,"Godkendt
  29-11-2024",867 - 867 kr.,"Aktivitets- og samværstilbud, § 104","13 - Aktivitets- og samværstilbud, § 104","13 pladser -
  Kontakt afdelingen om ledige pladser",Maria Høgh,mhog@vesthimmerland.dk,4521289182
Grafisk Tegnestue (Kunstskolen Rammen),"Skellet 4
  

  4600 Køge",55.4534672,12.1686618,"Godkendt
  23-02-2024","581,94 - 581,94 kr.","Aktivitets- og samværstilbud, § 104","5 - Aktivitets- og samværstilbud, § 104","5 pladser -
  Kontakt afdelingen om ledige pladser",Gitte Hansen,gvh@fof.dk,56655322
Midtpunktet,"Hovedgaden 75B
  

  8410 Rønde",56.3017064,10.4697002,"Godkendt
  21-04-2016",421 - 421 kr.,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  ingen ledige",Birthe Stensig Ipsen,bisi@syddjurs.dk,40126206
Natur og Samvær (Job- og Aktivitetscenteret),"Bank-Mikkelsens Vej 17
  

  2820 Gentofte",55.7522862,12.506967,"Godkendt
  24-06-2024","1.109,66 - 1.968,33 kr.","Aktivitets- og samværstilbud, § 104","6 - Aktivitets- og samværstilbud, § 104","6 pladser -
  Kontakt afdelingen om ledige pladser",Maybritt Perlt Jeppesen,mpj@gentofte.dk,51418855
Naturgruppen (ITC Roskilde),"Industrileddet 4
  

  4000 Roskilde",55.6330478,12.0075232,"Godkendt
  15-03-2016",842 - 842 kr.,"Aktivitets- og samværstilbud, § 104","6 - Aktivitets- og samværstilbud, § 104","6 pladser -
  ingen ledige",Dorte Birgitte Birkmose,dortebj@roskilde.dk,46317160
Rytmekilden (ITC Roskilde),"Industrileddet 4
  

  4000 Roskilde",55.6330478,12.0075232,"Godkendt
  15-03-2016",842 - 842 kr.,"Aktivitets- og samværstilbud, § 104","15 - Aktivitets- og samværstilbud, § 104","15 pladser -
  Kontakt afdelingen om ledige pladser",Dorte Birgitte Birkmose,dortebj@roskilde.dk,46317160
Special Minds Århus,"Gunnar Clausens Vej 68
  

  8260 Viby J",56.107075,10.1443289,"Godkendt
  27-03-2023","1.224,7 - 1.224,7 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  Kontakt afdelingen om ledige pladser",Lars Raun,lars@specialminds.dk,26328210
Specialgruppen Marienborgvej,"Marienborgvej 15A
  

  8930 Randers NØ",56.4740451,10.0446809,"Godkendt
  25-10-2024",536 - 536 kr.,"Aktivitets- og samværstilbud, § 104","12 - Aktivitets- og samværstilbud, § 104","12 pladser -
  Kontakt afdelingen om ledige pladser",Rasmus Halbye,Rasmus.Halbye@randers.dk,23844639
Specialisterne,"Lautruphøj 1
  

  2750 Ballerup",55.734551,12.389473,"Godkendt
  03-05-2017","94,09 - 94,09 kr.","Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
  Kontakt afdelingen om ledige pladser",Mette Skov,msr@specialisterne.com,21834476
Ungehuset Fontana (Fountain House København),"Teglværksgade 22
  

  2100 København Ø",55.7071788,12.5594344,"Godkendt
  30-10-2024","201,29 - 201,29 kr.","Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
  Kontakt afdelingen om ledige pladser",Maria Clemensen,maria@fountain-house.dk,23108196
Butiksteam 2 (NorGro),"Kildevej 3B
  

  3200 Helsinge",56.004809,12.2372594,"Godkendt
  04-11-2024","930,15 - 2.694,69 kr.","Aktivitets- og samværstilbud, § 104","2 - Aktivitets- og samværstilbud, § 104","2 pladser -
  Kontakt afdelingen om ledige pladser",Monica Rosenville Larsen,mr@norgro.dk,27510498
Campus Espevang Aktivitets og samværs tilbud §104,"Nyholms Alle 47D, st. 
  

  2610 Rødovre",55.6774511,12.4400248,"Godkendt
  27-04-2016",929 - 929 kr.,"Aktivitets- og samværstilbud, § 104","35 - Aktivitets- og samværstilbud, § 104","35 pladser -
  Kontakt afdelingen om ledige pladser",Line Knudsen,cn28872@rk.dk,36379080
Campus Espevang §104 Enkeltmands projekterne,"Nyholms Alle 47A
  

  2610 Rødovre",55.6776354,12.4421965,"Godkendt
  05-04-2024",1.401 - 1.401 kr.,"Aktivitets- og samværstilbud, § 104","3 - Aktivitets- og samværstilbud, § 104","3 pladser -
  ingen ledige",Line Knudsen,cn28872@rk.dk,30769082
Center for Socialpsykiatri - Værestedet Kirsebærhuset,"Jernbanegade 16
  

  4930 Maribo",54.7757146,11.5019963,"Godkendt
  19-02-2016",243 - 243 kr.,"Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
  ingen ledige",Michael Christensen,mich@lolland.dk,29609570
"Dagtilbud Aktiviteten og Røret, specialgruppe (Dagtilbud)","Rebslagervej 1
  

  9300 Sæby",57.3237536,10.5179388,"Godkendt
  27-04-2016",418 - 1.193 kr.,"Aktivitets- og samværstilbud, § 104","25 - Aktivitets- og samværstilbud, § 104","25 pladser -
  Kontakt afdelingen om ledige pladser",Helle Skovgaard Mortensen,hsmo@frederikshavn.dk,23826014
Dagtilbuddet 17´eren (Dagtilbuddet Spektrum),"Radisevej 12
  

  2300 København S",55.6486718,12.6078571,"Godkendt
  10-07-2023",678 - 678 kr.,"Aktivitets- og samværstilbud, § 104","13 - Aktivitets- og samværstilbud, § 104","13 pladser -
  ingen ledige",Mads Hansen,ek09@kk.dk,27641775
Det Blå Hus,"Fasanvej 10
  

  9700 Brønderslev",57.2698899,9.9395432,"Godkendt
  06-08-2020",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
  Kontakt afdelingen om ledige pladser",Sinne Bertelsen,sinn@99454545.dk,21443320
Exzentriq Midt,"Filmbyen 21, 4. 
  

  8000 Aarhus C",56.150798,10.212715,"Godkendt
  23-04-2025","400,68 - 400,68 kr.","Aktivitets- og samværstilbud, § 104","8 - Aktivitets- og samværstilbud, § 104","8 pladser -
  Kontakt afdelingen om ledige pladser",Casper Skafte Andersen,skafte@exzentriq.dk,52390691
"Faxe Sociale Udviklingscenter, Aktivitet og Dagtilbud","Tycho Brahes Vej 2
  

  4690 Haslev",55.3170217,11.9693898,"Godkendt
  25-06-2024",584 - 584 kr.,"Aktivitets- og samværstilbud, § 104","58 - Aktivitets- og samværstilbud, § 104","58 pladser -
  Kontakt afdelingen om ledige pladser",June Baasch-Larsen,jbaas@faxekommune.dk,24831573
"Grejsdalen og Låddenhøj, afdeling Låddenhøj (Grejsdalen og Låddenhøj)","Helgetoftevej 1
  

  5800 Nyborg",55.3156619,10.7831038,"Godkendt
  30-12-2024",1.357 - 1.789 kr.,"Aktivitets- og samværstilbud, § 104","42 - Aktivitets- og samværstilbud, § 104","42 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 16 pladser forbeholdt beboere på botilbuddet",Annette Kjærgaard,annette.kjaergaard@rsyd.dk,23375526
Klub Stoppestedet (Villa Social),"Poppelhusene 1
  

  2600 Glostrup",55.6739299,12.3741782,"Godkendt
  06-07-2023",162 - 162 kr.,"Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
  Kontakt afdelingen om ledige pladser",Pernille Lose Elholm,pll@albertslund.dk,51687577
MP-Husene Aps,"Bækgårdsvej 14
  

  4140 Borup",55.4941953,11.9757073,"Godkendt
  18-03-2025","5.271,8 - 5.271,8 kr.","Aktivitets- og samværstilbud, § 104","1 - Aktivitets- og samværstilbud, § 104","1 pladser -
  ingen ledige",Frank Kim Poulsen,kontakt@fpplejeservice.dk,40117477
S&A - Samvær og Aktivitet (Enhed for handicap - § 104 Slagelse),"Rosenkildevej 83A
  

  4200 Slagelse",55.4234076,11.361873,"Godkendt
  27-02-2024",129 - 147 kr.,"Aktivitets- og samværstilbud, § 104","125 - Aktivitets- og samværstilbud, § 104","125 pladser -
  Kontakt afdelingen om ledige pladser",Inge Kristensen,ickri@slagelse.dk,21274280
Sind Daghøjskole Aalborg §104,"Bispensgade 7A
  

  9000 Aalborg",57.0492622,9.9203708,"Godkendt
  24-11-2021","443,61 - 887,22 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  Kontakt afdelingen om ledige pladser",Anders Jensen,anders@sindskole.dk,30240397
"Socialpsykiatrisk Støttecenter ""Bakkely"", Frederikshavn","Kalkværksvej 7
  

  9900 Frederikshavn",57.436015,10.5305642,"Godkendt
  27-04-2016",202 - 202 kr.,"Aktivitets- og samværstilbud, § 104","100 - Aktivitets- og samværstilbud, § 104","100 pladser -
  Kontakt afdelingen om ledige pladser",John Markussen,jmar@frederikshavn.dk,40482604
Special Minds Aalborg,"Sofiendalsvej 11
  

  9200 Aalborg SV",57.0213448,9.8869023,"Godkendt
  14-06-2022","1.290,28 - 1.290,28 kr.","Aktivitets- og samværstilbud, § 104","5 - Aktivitets- og samværstilbud, § 104","5 pladser -
  Kontakt afdelingen om ledige pladser",Ditte Bach,dsb@specialminds.dk,30844627
Special Minds Silkeborg,"Højbovej 1F
  

  8600 Silkeborg",56.1811729,9.5346747,"Godkendt
  07-04-2025","1.290,28 - 1.290,28 kr.","Aktivitets- og samværstilbud, § 104","6 - Aktivitets- og samværstilbud, § 104","6 pladser -
  Kontakt afdelingen om ledige pladser",Sidsel Freja Sindal Birk,sif@specialminds.dk,51544937
Ungehuset Fontana (Fountain House København),"Teglværksgade 22
  

  2100 København Ø",55.7071788,12.5594344,"Godkendt
  10-03-2023","5.714,46 - 5.714,46 kr.","Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104",,,,
Væksthuset Bakkegården (Behandlingstilbuddene Væksthuset ApS),"Lendrupvej 26
  

  9670 Løgstør",56.9407981,9.2432967,"Godkendt
  09-10-2024","772,74 - 1.183,91 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  Kontakt afdelingen om ledige pladser",Chris Severinsen,cs@skhv.dk,28886334
§104 Aktivitets- og samværstilbud - Stejlhøj (§104 Aktivitets- og samværstilbud),"Elise Sørensens Vej 2
  

  4400 Kalundborg",55.6787803,11.1208207,"Godkendt
  08-10-2019",261 - 435 kr.,"Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
  Kontakt afdelingen om ledige pladser",Dorthe Westh,dowe@kalundborg.dk,29412255
Aktiviteten Katrinehaven (Katrinehaven),"Katrinehaven 1, st.  62
  

  8800 Viborg",56.4710166,9.3849808,"Godkendt
  18-04-2024",452 - 452 kr.,"Aktivitets- og samværstilbud, § 104","32 - Aktivitets- og samværstilbud, § 104","32 pladser -
  ingen ledige",Lilli Ane Urup,liu@viborg.dk,87877325
Aktivitets og samværstilbud (Fonden Koloni),"Holbæk Landevej 42
  

  4350 Ugerløse",55.5934917,11.6621276,"Godkendt
  19-04-2024","830,93 - 830,93 kr.","Aktivitets- og samværstilbud, § 104","6 - Aktivitets- og samværstilbud, § 104","6 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 6 pladser forbeholdt beboere på botilbuddet",Magnus Zøylner,Mzkoloni@gmail.com,53535278
Aktivitets- og samværscenter Livskilden,"Kilde Alle 9
  

  3600 Frederikssund",55.837304,12.0700089,"Godkendt
  07-06-2017",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
  ingen ledige",Birgitte Bisgaard Larsen,bbisg@frederikssund.dk,20586628
Aktivitets- og samværstilbud Springbrættet (Springbrættet),"Nordens Alle 33
  

  9700 Brønderslev",57.2786699,9.9393033,"Godkendt
  06-08-2020",448 - 2.007 kr.,"Aktivitets- og samværstilbud, § 104","42 - Aktivitets- og samværstilbud, § 104","42 pladser -
  Kontakt afdelingen om ledige pladser",Sinne Bertelsen,sinn@99454545.dk,21443320
Aktivitets- og samværstilbuddet Vongshøj,"Nørregade 30
  

  6240 Løgumkloster",55.0837213,8.9339467,"Godkendt
  02-07-2019",286 - 572 kr.,"Aktivitets- og samværstilbud, § 104","24 - Aktivitets- og samværstilbud, § 104","24 pladser -
  Kontakt afdelingen om ledige pladser",Marianne Styrk,mst@toender.dk,29432494
Handicapcenter Fyn - Nordlys (Engbo Nyborg og Nordlys),"Skaboeshusevej 92
  

  5800 Nyborg",55.3354528,10.7962386,"Godkendt
  04-02-2025",1.038 - 1.470 kr.,"Aktivitets- og samværstilbud, § 104","36 - Aktivitets- og samværstilbud, § 104","36 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 22 pladser forbeholdt beboere på botilbuddet",Annette Kjærgaard,annette.kjaergaard@rsyd.dk,23375526
Kernehuset (Fountain House København),"Teglværksgade 22
  

  2100 København Ø",55.7071788,12.5594344,"Godkendt
  30-10-2024","201,29 - 201,29 kr.","Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
  Kontakt afdelingen om ledige pladser",Maria Clemensen,maria@fountain-house.dk,23108196
Klubben (Villa Social),"Poppelhusene 1
  

  2600 Glostrup",55.6739299,12.3741782,"Godkendt
  06-07-2023",101 - 101 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
  Kontakt afdelingen om ledige pladser",Pernille Lose Elholm,pll@albertslund.dk,51687577
Kunstskolen Rammen,"Skellet 4
  

  4600 Køge",55.4534672,12.1686618,"Godkendt
  23-02-2024","581,94 - 581,94 kr.","Aktivitets- og samværstilbud, § 104","9 - Aktivitets- og samværstilbud, § 104","9 pladser -
  Kontakt afdelingen om ledige pladser",Gitte Hansen,gvh@fof.dk,56655322
Køkkenteam 2 (NorGro),"Kildevej 3B
  

  3200 Helsinge",56.004809,12.2372594,"Godkendt
  04-11-2024","930,15 - 2.694,69 kr.","Aktivitets- og samværstilbud, § 104","2 - Aktivitets- og samværstilbud, § 104","2 pladser -
  Kontakt afdelingen om ledige pladser",Monica Rosenville Larsen,mr@norgro.dk,27510498
Lindehuset § 104 - Dagtilbud (Den selvejende institution Lindehuset),"Vandværksvej 40
  

  5000 Odense C",55.3913975,10.3757775,"Godkendt
  20-11-2024","293,83 - 293,83 kr.","Aktivitets- og samværstilbud, § 104","11 - Aktivitets- og samværstilbud, § 104","11 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 4 pladser forbeholdt beboere på botilbuddet",Jens Christian Bryde Rasmussen,jens@lindehuset.com,29218188
N.A.B.O. Center,"Portugalsgade 10
  

  2300 København S",55.6605031,12.607257,"Godkendt
  20-12-2021",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
  ingen ledige",Bente Clausen,bc@nabocenter.dk,26739922
Projekt Hassellund,"Hassellundsvej 6
  

  5772 Kværndrup",55.2066979,10.549442,"Godkendt
  28-04-2025",,"Aktivitets- og samværstilbud, § 104","15 - Aktivitets- og samværstilbud, § 104","15 pladser -
  Kontakt afdelingen om ledige pladser",Marianne Laursen,mariannelaursen0805@gmail.com,42232475
Rehabilitering og Udviklingscenter Filadelfia - Aktivitetshuset §104 (Rehabilitering og Udviklingscenter Filadelfia),"Værkstedsvej 1
  

  4293 Dianalund",55.5287777,11.5013164,"Godkendt
  19-01-2017","370,15 - 407,36 kr.","Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
  Kontakt afdelingen om ledige pladser",Helle Lene Nielsen,hlnis@filadelfia.dk,58271330
Solgården,"Mellemvang 9
  

  4300 Holbæk",55.7015274,11.7283318,"Godkendt
  01-08-2024",89 - 173 kr.,"Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
  Kontakt afdelingen om ledige pladser",Jørgen Fregerslev,joeha@holb.dk,72364487
"Specialskolen Bramsnæsvig, Aktivitets- og Samværstilbud","Bramsnæsvigvej 2
  

  4070 Kirke Hyllinge",55.6904928,11.8397921,"Godkendt
  01-06-2023","1.302,21 - 2.852,46 kr.","Aktivitets- og samværstilbud, § 104","15 - Aktivitets- og samværstilbud, § 104","15 pladser -
  Kontakt afdelingen om ledige pladser",Pia Holm,ph@bramsnaesvig.dk,21482308
Struktur og Samvær (Job- og Aktivitetscenteret),"Bank-Mikkelsens Vej 15
  

  2820 Gentofte",55.7523846,12.5073323,"Godkendt
  24-06-2024","1.109,66 - 1.968,33 kr.","Aktivitets- og samværstilbud, § 104","7 - Aktivitets- og samværstilbud, § 104","7 pladser -
  Kontakt afdelingen om ledige pladser",Maybritt Perlt Jeppesen,mpj@gentofte.dk,51418855
Værket (Fonden Botilbuddet Hvidbjerghus),"Barslevvej 6
  

  7790 Thyholm",56.6500523,8.5237064,"Godkendt
  22-07-2024","342,49 - 342,49 kr.","Aktivitets- og samværstilbud, § 104","16 - Aktivitets- og samværstilbud, § 104","16 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 16 pladser forbeholdt beboere på botilbuddet",Henrik Jensen,post@hvidbjerghus.dk,4597872525
Værkstedscentret Tårnfalkevej,"Søvangsvej 1, st.  th
  

  2650 Hvidovre",55.6210843,12.4654628,"Godkendt
  02-03-2023","949,23 - 949,23 kr.","Aktivitets- og samværstilbud, § 104","21 - Aktivitets- og samværstilbud, § 104","21 pladser -
  Kontakt afdelingen om ledige pladser",Helle Fredslund Førster-Christensen,helle@fredslundconsulting.dk,22504452
§104 Aktivitets- og samværstilbud - Raklevgården (§104 Aktivitets- og samværstilbud),"Hestehavebakken 92
  

  4400 Kalundborg",55.6955508,11.0664066,"Godkendt
  08-10-2019",261 - 435 kr.,"Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
  Kontakt afdelingen om ledige pladser",Dorthe Westh,dowe@kalundborg.dk,29412255
AUC Grenaa,"Sønderport 8
  

  8500 Grenaa",56.4123584,10.8750242,"Godkendt
  09-01-2025",119 - 268 kr.,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  ingen ledige",Marie Kohsel Justesen,mako@norddjurs.dk,23399678
Dagtilbuddet NOVA,"Mejeribakken 1
  

  3540 Lynge",55.8486346,12.2802269,"Godkendt
  25-03-2025","1.179,14 - 2.357,33 kr.","Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
  Kontakt afdelingen om ledige pladser",Anne Marie Rahbek,Mia@skindersovej.nu,93203280
Huset Florasvej,"Hovedvejen 51
  

  2600 Glostrup",55.6665897,12.4078597,"Godkendt
  19-03-2025",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","100 - Aktivitets- og samværstilbud, § 104","100 pladser -
  Kontakt afdelingen om ledige pladser",Elena Marianne Nygård Samssund,elena.samssund@glostrup.dk,30339514
BO- OG AKTIVITETSCENTER PALLESHAVE,"Hedebovej 48
  

  5750 Ringe",55.2596072,10.407684,"Godkendt
  21-01-2025",722 - 1.056 kr.,"Aktivitets- og samværstilbud, § 104","25 - Aktivitets- og samværstilbud, § 104","25 pladser -
  ingen ledige",Birgit Søgren Nielsen,bisni@fmk.dk,72536875
Daghuset,"Korsgade 18
  

  7700 Thisted",56.9562801,8.695816,"Godkendt
  20-12-2021",420 - 420 kr.,"Aktivitets- og samværstilbud, § 104","37 - Aktivitets- og samværstilbud, § 104","37 pladser -
  ingen ledige",Christina Madsen,chma@thisted.dk,99173939
Asta Fonden - Rymarksvej,"Lærkevej 3
  

  2400 København NV",55.702079,12.5309485,"Godkendt
  06-10-2023","489,4 - 3.119,58 kr.","Aktivitets- og samværstilbud, § 104","54 - Aktivitets- og samværstilbud, § 104","54 pladser -
  Kontakt afdelingen om ledige pladser",Henrik Andersen,w12p@kk.dk,21561006
CFD - Aktivitetscenter (CFD - Dagtilbud Søborg),"Generatorvej 2M
  

  2860 Søborg",55.7312001,12.4701666,"Godkendt
  25-04-2025","826,27 - 826,27 kr.","Aktivitets- og samværstilbud, § 104","47 - Aktivitets- og samværstilbud, § 104","47 pladser -
  Kontakt afdelingen om ledige pladser",Karen Margrethe Gjerløf Riise,kr@cfd.dk,44391160
Projekt Hassellund,"Hassellundsvej 6
  

  5772 Kværndrup",55.2066979,10.549442,"Godkendt
  28-04-2025","891,04 - 891,04 kr.","Aktivitets- og samværstilbud, § 104","5 - Aktivitets- og samværstilbud, § 104","5 pladser -
  Kontakt afdelingen om ledige pladser",Marianne Laursen,mariannelaursen0805@gmail.com,42232475
Kernehuset (Fountain House København),"Teglværksgade 22
  

  2100 København Ø",55.7071788,12.5594344,"Godkendt
  10-03-2023","5.714,46 - 5.714,46 kr.","Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104",,,,
NABO Center Amager,"Portugalsgade 10
  

  2300 København S",55.6605031,12.607257,"Godkendt
  10-07-2023",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
  ingen ledige",Betina Christensen,bs@nabocenter.dk,26739922
Aktivitets og Samværstilbud (Botilbud Utterslev Gamle Skole),"Bøgetvej 59
  

  4913 Horslunde",54.9309032,11.1938503,"Godkendt
  10-04-2025","259,49 - 259,49 kr.","Aktivitets- og samværstilbud, § 104","13 - Aktivitets- og samværstilbud, § 104","13 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 13 pladser forbeholdt beboere på botilbuddet",Henrik Romme,Henrik.Romme@utterslev-gl-skole.dk,29783563
